inverno,data,orbita,passagem,referencia_vv_db,referencia_vh_db,foco_oeste_vv_db,foco_oeste_vh_db,foco_este_vv_db,foco_este_vh_db,zona0_poligono_vv_db,zona0_poligono_vh_db,nu2021_vv_db,nu2021_vh_db,pomar_vv_db,pomar_vh_db
2022-23,2022-11-01,125,descending,-4.1911,-12.7036,-3.9895,-12.4461,-5.873,-13.9694,-6.1074,-14.2584,-6.8071,-13.881,-4.5192,-12.8794
2022-23,2022-11-02,147,ascending,-4.9811,-13.0461,-5.0155,-13.0961,-6.9211,-14.7918,-6.8572,-14.898,-9.1189,-14.7128,-5.5173,-13.3577
2022-23,2022-11-13,125,descending,-4.2597,-12.5834,-3.9577,-12.5781,-6.2116,-13.8633,-6.6166,-13.8933,-7.8207,-14.5987,-4.618,-13.0358
2022-23,2022-11-14,147,ascending,-4.4696,-12.3198,-4.1202,-12.1257,-7.1061,-14.2877,-7.2231,-14.3098,-8.8737,-14.4747,-5.2252,-12.6003
2022-23,2022-11-25,125,descending,-2.9231,-11.7744,-3.1106,-11.9111,-4.9893,-13.1863,-5.3432,-13.4152,-6.1471,-13.8308,-3.8394,-12.0374
2022-23,2022-11-26,147,ascending,-5.032,-13.0498,-5.4019,-12.7487,-7.0099,-14.7349,-7.1963,-14.4115,-8.6689,-15.321,-5.7519,-13.3711
2022-23,2022-12-07,125,descending,-4.3626,-12.7409,-4.1979,-12.894,-5.6786,-13.5517,-5.9282,-13.5466,-7.057,-14.1153,-4.9354,-13.0789
2022-23,2022-12-08,147,ascending,-4.9274,-12.4565,-4.7671,-12.6324,-7.3267,-12.8667,-7.8535,-13.0897,-8.6381,-14.2689,-5.551,-12.8328
2022-23,2022-12-19,125,descending,-5.4059,-11.8559,-5.5295,-12.3483,-7.9931,-13.0713,-7.6687,-12.6537,-8.239,-13.5494,-6.0055,-12.1918
2022-23,2022-12-20,147,ascending,-4.473,-11.0589,-4.5044,-10.9385,-6.6385,-12.6116,-6.8357,-12.7038,-7.8618,-13.5233,-5.1329,-11.1079
2022-23,2022-12-31,125,descending,-5.8371,-10.9904,-6.202,-10.6247,-7.4122,-12.6264,-7.4322,-12.4473,-7.7357,-13.6232,-6.0564,-11.3374
2022-23,2023-01-01,147,ascending,-4.8957,-10.3639,-4.7311,-10.2387,-5.8481,-12.5724,-6.1573,-12.6442,-7.4527,-13.841,-5.342,-10.8475
2022-23,2023-01-12,125,descending,-5.9709,-11.2687,-6.1211,-10.9927,-7.8003,-13.1108,-7.8517,-13.3702,-8.6209,-14.0524,-6.3866,-11.8034
2022-23,2023-01-13,147,ascending,-6.4455,-11.6922,-5.6469,-11.1336,-8.4463,-13.83,-8.1208,-13.4911,-8.9223,-15.1806,-6.8103,-12.2687
2022-23,2023-01-24,125,descending,-6.997,-12.8809,-7.2701,-12.8545,-8.36,-14.8906,-8.1656,-14.6255,-8.43,-15.6882,-7.3125,-12.9065
2022-23,2023-01-25,147,ascending,-7.1251,-12.7895,-6.9702,-12.4398,-9.033,-14.7512,-8.8795,-14.6876,-9.5066,-15.8572,-7.3356,-13.1431
2022-23,2023-02-05,125,descending,-7.651,-13.2563,-6.9796,-13.3732,-9.0444,-14.6637,-8.713,-14.1319,-9.3223,-15.4305,-7.7894,-13.6742
2022-23,2023-02-06,147,ascending,-7.597,-12.7704,-7.3657,-12.4176,-8.5805,-15.1643,-8.5029,-15.0387,-9.9027,-16.2428,-7.5474,-13.2504
2022-23,2023-02-17,125,descending,-9.1216,-14.5841,-9.1218,-14.6329,-10.2172,-15.9036,-10.0731,-15.8751,-10.7708,-16.7019,-9.0394,-14.7348
2022-23,2023-02-18,147,ascending,-8.1495,-14.0915,-8.5991,-14.3619,-9.3341,-15.1216,-9.1381,-15.2603,-11.395,-16.6388,-8.4028,-14.341
2022-23,2023-03-01,125,descending,-9.5664,-14.949,-9.8486,-15.0139,-10.613,-16.2715,-10.2682,-16.0426,-11.8128,-17.1817,-9.5974,-15.2071
2022-23,2023-03-02,147,ascending,-9.1997,-14.918,-9.0656,-15.1463,-9.7987,-16.1129,-9.2892,-16.2626,-11.0289,-17.3394,-9.2247,-15.1668
2022-23,2023-03-13,125,descending,-7.4716,-13.0704,-7.5532,-12.3681,-8.2507,-13.638,-8.3937,-13.4339,-8.7971,-14.5968,-7.5749,-12.9783
2022-23,2023-03-14,147,ascending,-8.4554,-14.3296,-8.1402,-13.9113,-9.1895,-14.9724,-9.3407,-14.9728,-10.3311,-15.8686,-8.458,-14.4253
2022-23,2023-03-25,125,descending,-9.6367,-14.9175,-9.9054,-14.9663,-8.1161,-15.0227,-8.0254,-14.9903,-8.4699,-15.6747,-8.9183,-14.6761
2022-23,2023-03-26,147,ascending,-9.0125,-14.9737,-9.1799,-15.0909,-8.6696,-15.6065,-8.2094,-15.7551,-9.5878,-16.9071,-8.7267,-14.9872
2023-24,2023-11-08,125,descending,-3.9789,-12.2999,-3.5402,-12.3366,-5.3311,-12.9083,-5.5807,-12.7086,-5.8118,-12.9087,-4.2473,-12.2772
2023-24,2023-11-09,147,ascending,-4.9018,-11.5373,-5.1353,-11.7176,-6.3492,-12.6149,-6.0225,-13.0208,-7.3481,-13.4565,-5.3274,-11.9871
2023-24,2023-11-21,147,ascending,-5.7617,-12.8996,-6.3241,-12.0083,-6.6822,-13.7609,-6.6874,-13.9012,-7.743,-14.8518,-6.2277,-13.1471
2023-24,2023-12-02,125,descending,-4.7719,-12.9537,-4.7689,-13.3915,-5.7737,-13.0196,-6.0504,-12.9921,-7.2072,-13.6104,-5.1738,-12.9916
