inverno,data,orbita,referencia,este_lavrado,este_nao_lavrado,lavrado_fora_do_este,oeste
2022-23,2022-11-01,125,-4.1911,-7.1433,-5.0399,-6.2926,-3.9895
2022-23,2022-11-02,147,-4.9811,-9.5395,-5.2038,-8.4752,-5.0155
2022-23,2022-11-13,125,-4.2597,-8.015,-5.0289,-7.5234,-3.9577
2022-23,2022-11-14,147,-4.4696,-9.4854,-5.5456,-7.9377,-4.1202
2022-23,2022-11-25,125,-2.9231,-6.2646,-4.1529,-5.9672,-3.1106
2022-23,2022-11-26,147,-5.032,-9.2549,-5.5376,-7.7721,-5.4019
2022-23,2022-12-07,125,-4.3626,-7.3443,-4.5861,-6.6175,-4.1979
2022-23,2022-12-08,147,-4.9274,-9.1164,-6.1529,-7.9061,-4.7671
2022-23,2022-12-19,125,-5.4059,-8.8227,-7.4491,-7.3458,-5.5295
2022-23,2022-12-20,147,-4.473,-8.4341,-5.4608,-6.9859,-4.5044
2022-23,2022-12-31,125,-5.8371,-8.6064,-6.629,-6.4033,-6.202
2022-23,2023-01-01,147,-4.8957,-7.2416,-4.9341,-7.7756,-4.7311
2022-23,2023-01-12,125,-5.9709,-8.9275,-7.0611,-8.1517,-6.1211
2022-23,2023-01-13,147,-6.4455,-9.4541,-7.7853,-8.1084,-5.6469
2022-23,2023-01-24,125,-6.997,-9.0508,-7.9069,-7.4802,-7.2701
2022-23,2023-01-25,147,-7.1251,-10.5478,-8.0396,-7.9132,-6.9702
2022-23,2023-02-05,125,-7.651,-9.4419,-8.7837,-9.1393,-6.9796
2022-23,2023-02-06,147,-7.597,-9.8314,-7.7602,-10.0118,-7.3657
2022-23,2023-02-17,125,-9.1216,-11.2,-9.5726,-10.1141,-9.1218
2022-23,2023-02-18,147,-8.1495,-10.7494,-8.4059,-12.3829,-8.5991
2022-23,2023-03-01,125,-9.5664,-11.5,-10.0312,-12.2914,-9.8486
2022-23,2023-03-02,147,-9.1997,-10.1503,-9.5681,-12.3733,-9.0656
2022-23,2023-03-13,125,-7.4716,-8.9073,-7.8201,-8.6284,-7.5532
2022-23,2023-03-14,147,-8.4554,-9.7018,-8.8536,-11.2942,-8.1402
2022-23,2023-03-25,125,-9.6367,-7.8628,-8.2822,-9.3991,-9.9054
2022-23,2023-03-26,147,-9.0125,-8.4227,-8.8315,-11.3707,-9.1799
2023-24,2023-11-08,125,-3.9789,-5.4048,-5.2828,-6.4345,-3.5402
2023-24,2023-11-09,147,-4.9018,-6.7645,-6.0768,-8.2412,-5.1353
2023-24,2023-11-21,147,-5.7617,-6.8448,-6.5755,-9.1175,-6.3241
2023-24,2023-12-02,125,-4.7719,-6.5919,-5.2371,-8.1488,-4.7689
2023-24,2023-12-03,147,-5.1713,-7.4146,-6.3015,-8.4798,-5.0268
2023-24,2023-12-14,125,-3.63,-5.6762,-5.2537,-6.4032,-4.5945
2023-24,2023-12-15,147,-5.5833,-6.2246,-6.6655,-9.4364,-5.1813
2023-24,2023-12-27,147,-6.1085,-6.4544,-7.0813,-9.6387,-6.6146
2023-24,2024-01-07,125,-5.1643,-6.3963,-6.0657,-6.6778,-5.0136
2023-24,2024-01-08,147,-4.8554,-6.8922,-5.0297,-8.7018,-5.277
2023-24,2024-01-19,125,-5.5871,-6.7557,-6.2872,-4.8398,-5.2818
2023-24,2024-01-20,147,-6.5594,-5.9213,-6.204,-6.0288,-6.4796
2023-24,2024-02-12,125,-6.5724,-6.8271,-7.1528,-8.0734,-6.8976
2023-24,2024-02-13,147,-7.533,-6.5405,-6.6917,-9.9481,-7.8036
2023-24,2024-02-24,125,-6.8368,-7.2635,-6.7162,-9.2405,-6.0524
2023-24,2024-02-25,147,-6.5997,-6.9874,-6.3612,-10.4623,-7.0031
2023-24,2024-03-07,125,-7.4694,-8.1684,-7.3123,-9.8588,-6.9344
2023-24,2024-03-08,147,-6.6865,-7.2859,-6.9614,-9.2369,-6.776
2023-24,2024-03-19,125,-8.7483,-9.1865,-8.5985,-10.2431,-9.1732
2023-24,2024-03-20,147,-8.1089,-7.339,-8.0424,-10.7686,-8.6195
2024-25,2024-11-02,125,-4.2657,-6.779,-5.8578,-7.3669,-4.7857
2024-25,2024-11-03,147,-5.7927,-8.478,-7.498,-9.6454,-5.6475
2024-25,2024-11-14,125,-5.1776,-7.4538,-7.0111,-8.7137,-5.9301
