inverno,data,orbita,referencia,lavrado2021,lavrado_fora_do_este,este_nao_lavrado,oeste,pomar
2016-17,2016-11-02,125,-4.0544,-7.4661,-7.0873,-5.5054,-4.4082,-5.3674
2016-17,2016-11-03,147,-4.516,-9.1922,-8.7979,-5.5113,-4.6719,-5.7014
2016-17,2016-11-08,125,-5.2401,-6.6783,-5.7283,-6.0671,-5.1432,-6.0182
2016-17,2016-11-09,147,-4.2521,-6.6425,-6.6801,-4.0951,-4.6523,-5.1534
2016-17,2016-11-14,125,-5.4605,-6.9269,-6.5469,-6.0262,-5.5803,-6.1137
2016-17,2016-11-20,125,-4.1328,-5.7151,-6.1455,-4.7434,-4.262,-4.7642
2016-17,2016-11-21,147,-3.7872,-7.3056,-6.9882,-3.8706,-4.4901,-4.6912
2016-17,2016-11-26,125,-5.296,-6.6044,-6.1812,-4.8581,-5.7221,-5.7092
2016-17,2016-11-27,147,-5.0246,-7.9255,-6.9525,-6.0099,-5.0897,-5.6414
2016-17,2016-12-02,125,-4.5016,-6.8403,-6.1175,-4.6419,-4.5322,-5.3183
2016-17,2016-12-03,147,-4.6309,-7.6835,-6.5973,-5.6771,-5.7405,-5.5935
2016-17,2016-12-08,125,-4.065,-7.6878,-7.1478,-4.7914,-5.608,-5.2809
2016-17,2016-12-09,147,-5.4866,-8.4193,-7.4598,-5.8919,-6.3145,-5.9948
2016-17,2016-12-14,125,-4.0153,-6.3832,-6.358,-4.792,-4.5308,-4.753
2016-17,2016-12-15,147,-3.6552,-6.8055,-5.3994,-4.4569,-3.8638,-4.5699
2016-17,2016-12-20,125,-5.7413,-7.58,-7.0627,-5.5517,-6.2608,-6.3148
2016-17,2016-12-21,147,-5.9066,-7.6168,-7.5147,-6.8376,-6.2876,-6.3445
2016-17,2016-12-26,125,-6.3825,-7.8815,-7.7691,-6.2671,-7.6974,-6.8348
2016-17,2016-12-27,147,-6.2323,-8.267,-8.0592,-6.7855,-7.5571,-6.7506
2016-17,2017-01-01,125,-7.6615,-8.8713,-8.8207,-7.6344,-8.7899,-8.2102
2016-17,2017-01-02,147,-6.4435,-7.7331,-6.9805,-6.8811,-6.8433,-6.7559
2016-17,2017-01-07,125,-7.8946,-8.6628,-8.9847,-7.7002,-8.6099,-8.24
2016-17,2017-01-08,147,-7.4407,-8.3301,-8.059,-7.3899,-7.8099,-7.5456
2016-17,2017-01-13,125,-6.2936,-7.1948,-7.5077,-5.7399,-6.5542,-6.483
2016-17,2017-01-14,147,-7.4367,-9.0718,-8.6076,-7.9487,-8.0881,-7.8945
2016-17,2017-01-19,125,-9.8638,-10.185,-10.4966,-9.452,-10.9335,-9.8912
2016-17,2017-01-20,147,-7.7084,-9.0102,-8.4588,-8.1976,-8.3024,-8.0019
2016-17,2017-01-25,125,-10.2014,-10.6196,-10.6064,-9.2789,-11.0783,-10.1063
2016-17,2017-01-26,147,-6.7688,-7.671,-7.5496,-6.8313,-7.3817,-6.8589
2016-17,2017-01-31,125,-5.5318,-6.8991,-6.4078,-6.2542,-5.7596,-5.898
2016-17,2017-02-01,147,-5.2725,-6.4422,-5.2957,-5.4432,-5.4824,-5.5721
2016-17,2017-02-06,125,-7.013,-7.6257,-7.9317,-7.2598,-7.0444,-7.0746
2016-17,2017-02-07,147,-7.0854,-8.3358,-7.5544,-7.5333,-7.7894,-7.1597
2016-17,2017-02-12,125,-8.2643,-8.0876,-8.1231,-8.2273,-8.3271,-7.9979
