Record_ID,Source_File,Doc_Type,Report_No,Client_Titular,Terrain_Block_Parcel,Parish_Municipality,Parcelario_No,Sample_Date,Received_Date,Result_Date,Matrix,Test_Category,Method,Organism_Parameter,Result,Value,Unit,Interpretation,Lab_Provider,Location_Confidence,Notes
1,Nota_sobre_a_visita_a_um_pomar_de_actini_dea_em_decli_nio1.pdf,Nota de Campo (visita técnica),n/d,Pomar Ganfei (técnica responsável: Eng.ª Cláudia),"Pomar completo, ~50 ha (zonas afetadas, sub-talhão não especificado)","Ganfei, Valença (Emparcelamento de Ganfei)",,2026-08-04,,2026-08-07,Planta inteira / observação de campo,Diagnóstico macroscópico,Inspeção visual + cortes transversais de tronco/ramos + sondagem do solo à volta do tronco,"Esca complex (Phaeoacremonium spp., Phaeomoniella chlamydospora, Fomitiporia mediterranea) - suspected from secondary leaf/fruit symptoms only",INCONCLUSIVO (sem sintomas primários no tronco; apenas sintomas secundários compatíveis nas folhas/frutos),,n/d,"Apenas hipótese de campo, não confirmada em laboratório","Field team (Débora Sousa, Carlos Coutinho)",Confirmado (local) / Não confirmado (diagnóstico),"Os cortes transversais em vários troncos/ramos afetados NÃO mostraram sintomas primários de esca. Foi colhida uma amostra de madeira/ramo para eventual análise de esca no INIAV (pendente, financiamento via CCDR-N em consulta)."
2,Nota_sobre_a_visita_a_um_pomar_de_actini_dea_em_decli_nio1.pdf,Nota de Campo (visita técnica),n/d,Pomar Ganfei,"Uma planta arrancada, local não especificado","Ganfei, Valença",,2026-08-04,,2026-08-07,Raiz,Diagnóstico macroscópico,Inspeção visual de sintomas radiculares (planta arrancada),Rosellinia sp. (probably R. necatrix),POSITIVO (identificação macroscópica apenas - NÃO confirmado molecularmente),,n/d,A equipa de campo considerou este diagnóstico 'sem grandes dúvidas' - amostra de raiz recolhida mas NÃO enviada para confirmação laboratorial (conforme nota: 'não será necessário'),Field team,Confirmado (local) / Contradito por dados laboratoriais posteriores (ver registo referente ao relatório de 6_junho_2025: Rosellinia sp. no solo = NEGATIVO),"IMPORTANTE: uma análise molecular do solo posterior (informe 331/2025, amostra 'Kiwi 1000') deu Rosellinia sp. NEGATIVO. Trata-se de um conflito direto a esclarecer - amostra diferente, matriz diferente (raiz vs. solo), ou ausência real."
3,Nota_sobre_a_visita_a_um_pomar_de_actini_dea_em_decli_nio1.pdf,Nota de Campo (visita técnica),n/d,Pomar Ganfei,"Base do tronco de várias plantas, local não especificado","Ganfei, Valença",,2026-08-04,,2026-08-07,Solo (à volta do tronco),Diagnóstico macroscópico,Sondagem do solo à volta da base do tronco (sem análise laboratorial),Phytophthora sp. / Armillaria sp.,"Não observado macroscopicamente (NÃO excluído pela equipa - ubíquo na região, com condições de solo favoráveis: humidade elevada, provável pH baixo)",,n/d,Explicitamente assinalado como inconclusivo pela equipa de campo,Field team,Confirmado (local) / Não confirmado (diagnóstico),"Cruzamento com dados laboratoriais: informe 331/2025 (Kiwi 1000, raiz+solo) = Armillaria NEGATIVO (molecular). A Phytophthora não foi testada diretamente nesse relatório, mas um oomiceta relacionado (Globisporangium/Pythium) FOI positivo na raiz."
4,Nota_sobre_a_visita_a_um_pomar_de_actini_dea_em_decli_nio1.pdf,Nota de Campo (visita técnica),n/d,Pomar Ganfei,"Whole orchard, ~50 ha","Ganfei, Valença",,2026-08-04,,2026-08-07,Solo (estrutural),Hipótese hidrológica/estrutural,Avaliação visual/técnica (sem ensaio instrumental),Soil hardpan ('imperme') restricting aeration/drainage,HIPÓTESE - ainda não testada,,n/d,"Solo aluvionar, muito revolvido há cerca de 35 anos durante o emparcelamento; proposto como fator contributivo para o padrão de morte concêntrico e para o colapso apoplético (desencadeado pelo calor)",Field team,Confirmado (local) / Não confirmado (hipótese),"Foi recomendada a abertura de perfis de solo pela Eng.ª Manuela Costa, mas não há confirmação, nos ficheiros revistos, de que tenha sido realizada. Ações imediatas recomendadas: arranque das plantas mortas e corte da erva espontânea para melhorar o arejamento."
5,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Madeira,Fitopatologia fúngica,Morfolóxica/Molecular,Fusarium cerealis,POSITIVO,,n/d,Fungo patogénico colonizador da madeira detetado,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
6,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Madeira,Fitopatologia fúngica,Morfolóxica/Molecular,Fusarium equiseti,POSITIVO,,n/d,Fungo patogénico colonizador da madeira detetado,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
7,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Madeira,Fitopatologia fúngica,Morfolóxica,Fusarium oxysporum,POSITIVO,,n/d,Fungo patogénico colonizador da madeira detetado,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
8,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Madeira,Fitopatologia fúngica,Morfolóxica/Molecular,Neofusicoccum parvum,POSITIVO,,n/d,Fungo patogénico colonizador da madeira detetado,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
9,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Raiz,Fitopatologia fúngica,Molecular,Armillaria sp.,NEGATIVO,,n/d,Organismo associado à raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
10,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),331/2025 V.1 (expediente 2025045292),Kiwi 1000 (sample identifier),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),"Not stated in this report (orchard client context = Ganfei, Valença)",,2025-06-06,2025-06-06,2025-07-07,Raiz,Fitopatologia fúngica,Morfolóxica/Molecular,Ceratobasidium sp.,POSITIVO,,n/d,Organismo associado à raiz,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)",DESCONHECIDO - alerta: sem código de terreno/talhão no documento de origem,
