Record_ID,Source_File,Doc_Type,Terrain_Block_Parcel,Sample_Date,Matrix,Organism_Parameter,Result,classe_posicao,unidade,nota_colocacao,E,N,d_foco_OESTE_m,d_foco_ESTE_m,pct_defice_2026,pct_novo_M2,pct_nu2021
1,Nota_sobre_a_visita_a_um_pomar_de_actini_dea_em_decli_nio1.pdf,Nota de Campo (visita técnica),"Pomar completo, ~50 ha (zonas afetadas, sub-talhão não especificado)",2026-08-04,Planta inteira / observação de campo,"Esca complex (Phaeoacremonium spp., Phaeomoniella chlamydospora, Fomitiporia mediterranea) - suspected from secondary leaf/fruit symptoms only",INCONCLUSIVO (sem sintomas primários no tronco; apenas sintomas secundários compatíveis nas folhas/frutos),SEM POSICAO,,observacao ao nivel do pomar inteiro (~50 ha),,,,,,,
2,Nota_sobre_a_visita_a_um_pomar_de_actini_dea_em_decli_nio1.pdf,Nota de Campo (visita técnica),"Uma planta arrancada, local não especificado",2026-08-04,Raiz,Rosellinia sp. (probably R. necatrix),POSITIVO (identificação macroscópica apenas - NÃO confirmado molecularmente),SEM POSICAO,,o proprio documento diz 'local nao especificado',,,,,,,
3,Nota_sobre_a_visita_a_um_pomar_de_actini_dea_em_decli_nio1.pdf,Nota de Campo (visita técnica),"Base do tronco de várias plantas, local não especificado",2026-08-04,Solo (à volta do tronco),Phytophthora sp. / Armillaria sp.,"Não observado macroscopicamente (NÃO excluído pela equipa - ubíquo na região, com condições de solo favoráveis: humidade elevada, provável pH baixo)",SEM POSICAO,,o proprio documento diz 'local nao especificado',,,,,,,
4,Nota_sobre_a_visita_a_um_pomar_de_actini_dea_em_decli_nio1.pdf,Nota de Campo (visita técnica),"Whole orchard, ~50 ha",2026-08-04,Solo (estrutural),Soil hardpan ('imperme') restricting aeration/drainage,HIPÓTESE - ainda não testada,SEM POSICAO,,observacao ao nivel do pomar inteiro (~50 ha),,,,,,,
5,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Madeira,Fusarium cerealis,POSITIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
6,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Madeira,Fusarium equiseti,POSITIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
7,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Madeira,Fusarium oxysporum,POSITIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
8,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Madeira,Neofusicoccum parvum,POSITIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
9,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Raiz,Armillaria sp.,NEGATIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
10,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Raiz,Ceratobasidium sp.,POSITIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
11,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Raiz,Fusarium oxysporum,POSITIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
12,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Raiz,Fusarium solani,POSITIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
13,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Raiz,Neofusicoccum parvum,POSITIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
14,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Raiz,Meloidogyne hapla,POSITIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
15,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Raiz,Globisporangium intermedium,POSITIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
16,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Solo,Armillaria sp.,NEGATIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
17,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Solo,Rosellinia sp.,NEGATIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
18,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Solo,Meloidogyne hapla,POSITIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
19,6_junho_2025_microbiologia_de_solo.pdf,Relatório Laboratorial - Fitopatologia (fungos/oomicetas/nemátodos),NÃO ESPECIFICADO - amostra composta/global identificada como 'Kiwi 1000' (sem código de talhão indicado),2025-06-06,Solo,Oomicetes (general),NEGATIVO,SEM POSICAO,,o proprio documento nao indica talhao,,,,,,,
20,339_Kiwi.pdf,Relatório Laboratorial - Nematologia,B1,2026-05-06,Raiz,Meloidogyne hapla,POSITIVO,FORA DA BANDA,,"B1 e o bloco a sudoeste, v1-5, fora da banda contigua; raio 343 m",,,,,,,
21,339_Kiwi.pdf,Relatório Laboratorial - Nematologia,B1,2026-05-06,Solo,Meloidogyne hapla,POSITIVO,FORA DA BANDA,,"B1 e o bloco a sudoeste, v1-5, fora da banda contigua; raio 343 m",,,,,,,
22,339_Kiwi.pdf,Relatório Laboratorial - Nematologia,B1,2026-05-06,Solo,"M. hapla J2 juveniles + eggs, per 200cc soil",Contagem,FORA DA BANDA,,"B1 e o bloco a sudoeste, v1-5, fora da banda contigua; raio 343 m",,,,,,,
23,339_Kiwi.pdf,Relatório Laboratorial - Nematologia,B1,2026-05-06,Raiz,"M. hapla J2 juveniles + eggs, per g root",Contagem,FORA DA BANDA,,"B1 e o bloco a sudoeste, v1-5, fora da banda contigua; raio 343 m",,,,,,,
24,340_Kiwi.pdf,Relatório Laboratorial - Nematologia,B3,2026-05-06,Raiz,Meloidogyne hapla,POSITIVO,COLOCADO-BLOCO,B3,bloco explicito; ponto dentro do bloco desconhecido,530940.9,4655173.2,471.0,67.0,46.9,13.9,16.3
25,340_Kiwi.pdf,Relatório Laboratorial - Nematologia,B3,2026-05-06,Solo,Meloidogyne hapla,POSITIVO,COLOCADO-BLOCO,B3,bloco explicito; ponto dentro do bloco desconhecido,530940.9,4655173.2,471.0,67.0,46.9,13.9,16.3
26,340_Kiwi.pdf,Relatório Laboratorial - Nematologia,B3,2026-05-06,Solo,"M. hapla J2 juveniles + eggs, per 200cc soil",Contagem,COLOCADO-BLOCO,B3,bloco explicito; ponto dentro do bloco desconhecido,530940.9,4655173.2,471.0,67.0,46.9,13.9,16.3
27,340_Kiwi.pdf,Relatório Laboratorial - Nematologia,B3,2026-05-06,Raiz,"M. hapla J2 juveniles + eggs, per g root",Contagem,COLOCADO-BLOCO,B3,bloco explicito; ponto dentro do bloco desconhecido,530940.9,4655173.2,471.0,67.0,46.9,13.9,16.3
28,341_Kiwi.pdf,Relatório Laboratorial - Nematologia,B4,2026-05-06,Raiz,Meloidogyne hapla,POSITIVO,AMBIGUO,B4,B4 tem v16-17 na banda E a parcela solta B4C3 sem posicao,531296.3,4655320.5,854.0,379.0,6.2,0.0,1.2
29,341_Kiwi.pdf,Relatório Laboratorial - Nematologia,B4,2026-05-06,Solo,Meloidogyne hapla,POSITIVO,AMBIGUO,B4,B4 tem v16-17 na banda E a parcela solta B4C3 sem posicao,531296.3,4655320.5,854.0,379.0,6.2,0.0,1.2
30,341_Kiwi.pdf,Relatório Laboratorial - Nematologia,B4,2026-05-06,Solo,"M. hapla J2 juveniles + eggs, per 200cc soil",Contagem,AMBIGUO,B4,B4 tem v16-17 na banda E a parcela solta B4C3 sem posicao,531296.3,4655320.5,854.0,379.0,6.2,0.0,1.2
31,341_Kiwi.pdf,Relatório Laboratorial - Nematologia,B4,2026-05-06,Raiz,"M. hapla J2 juveniles + eggs, per g root",Contagem,AMBIGUO,B4,B4 tem v16-17 na banda E a parcela solta B4C3 sem posicao,531296.3,4655320.5,854.0,379.0,6.2,0.0,1.2
32,342_Kiwi.pdf,Relatório Laboratorial - Nematologia,V7,2026-05-06,Raiz,Meloidogyne hapla,POSITIVO,COLOCADO,v7,numero de valvula explicito,530392.4,4654977.1,120.0,601.0,21.2,21.2,0.0
33,342_Kiwi.pdf,Relatório Laboratorial - Nematologia,V7,2026-05-06,Solo,Meloidogyne hapla,POSITIVO,COLOCADO,v7,numero de valvula explicito,530392.4,4654977.1,120.0,601.0,21.2,21.2,0.0
34,342_Kiwi.pdf,Relatório Laboratorial - Nematologia,V7,2026-05-06,Solo,"M. hapla J2 juveniles + eggs, per 200cc soil",Contagem,COLOCADO,v7,numero de valvula explicito,530392.4,4654977.1,120.0,601.0,21.2,21.2,0.0
35,342_Kiwi.pdf,Relatório Laboratorial - Nematologia,V7,2026-05-06,Raiz,"M. hapla J2 juveniles + eggs, per g root",Contagem,COLOCADO,v7,numero de valvula explicito,530392.4,4654977.1,120.0,601.0,21.2,21.2,0.0
36,343_Kiwi.pdf,Relatório Laboratorial - Nematologia,Erica Novo E,2026-05-06,Raiz,Meloidogyne hapla,POSITIVO,COLOCADO-BLOCO,Erica Novo,rotulo de bloco da tabela de valvulas,530700.5,4655090.8,219.0,278.0,2.8,0.7,0.0
37,343_Kiwi.pdf,Relatório Laboratorial - Nematologia,Erica Novo E,2026-05-06,Solo,Meloidogyne hapla,POSITIVO,COLOCADO-BLOCO,Erica Novo,rotulo de bloco da tabela de valvulas,530700.5,4655090.8,219.0,278.0,2.8,0.7,0.0
38,343_Kiwi.pdf,Relatório Laboratorial - Nematologia,Erica Novo E,2026-05-06,Solo,"M. hapla J2 juveniles + eggs, per 200cc soil",Contagem,COLOCADO-BLOCO,Erica Novo,rotulo de bloco da tabela de valvulas,530700.5,4655090.8,219.0,278.0,2.8,0.7,0.0
39,343_Kiwi.pdf,Relatório Laboratorial - Nematologia,Erica Novo E,2026-05-06,Raiz,"M. hapla J2 juveniles + eggs, per g root",Contagem,COLOCADO-BLOCO,Erica Novo,rotulo de bloco da tabela de valvulas,530700.5,4655090.8,219.0,278.0,2.8,0.7,0.0
40,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Raiz,Dactylonectria sp.,POSITIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
41,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Raiz,Fusarium sp.,POSITIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
42,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",B-3/C-3,2023-05-26,Raiz,Ilyonectria liriodendri,POSITIVO,FORA DO CONJUNTO,,outro cliente e outro concelho (Espanha),,,,,,,
