id;classe;causa;estatuto;ambito;prova (certificado e numero);instrumento independente;margem e leitura;o que a fecharia
BIO-01;biologia;Fusarium cerealis (madeira);NAO TESTADA;"presenca declarada em: metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06";"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma;"POSITIVO numa unica amostra composta; informe 331/2025 = amostra 'Kiwi 1000': UMA amostra COMPOSTA, uma data, um laboratorio, sem replicado e SEM PAR DE COMPARACAO - nenhuma outra amostra do caso ensaiou esta linha. Presenca localizada NAO e causa: nunca se procurou este organismo em nenhum ponto sao.";um segundo ponto ensaiado para as mesmas linhas, fora do foco OESTE (a comparacao que nao existe)
BIO-02;biologia;Fusarium equiseti (madeira);NAO TESTADA;"presenca declarada em: metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06";"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma;"POSITIVO numa unica amostra composta; informe 331/2025 = amostra 'Kiwi 1000': UMA amostra COMPOSTA, uma data, um laboratorio, sem replicado e SEM PAR DE COMPARACAO - nenhuma outra amostra do caso ensaiou esta linha. Presenca localizada NAO e causa: nunca se procurou este organismo em nenhum ponto sao.";um segundo ponto ensaiado para as mesmas linhas, fora do foco OESTE (a comparacao que nao existe)
BIO-03;biologia;Fusarium oxysporum (madeira);NAO TESTADA;"presenca declarada em: metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06";"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma;"POSITIVO numa unica amostra composta; informe 331/2025 = amostra 'Kiwi 1000': UMA amostra COMPOSTA, uma data, um laboratorio, sem replicado e SEM PAR DE COMPARACAO - nenhuma outra amostra do caso ensaiou esta linha. Presenca localizada NAO e causa: nunca se procurou este organismo em nenhum ponto sao.";um segundo ponto ensaiado para as mesmas linhas, fora do foco OESTE (a comparacao que nao existe)
BIO-04;biologia;Neofusicoccum parvum (madeira);NAO TESTADA;"presenca declarada em: metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06";"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma;"POSITIVO numa unica amostra composta; informe 331/2025 = amostra 'Kiwi 1000': UMA amostra COMPOSTA, uma data, um laboratorio, sem replicado e SEM PAR DE COMPARACAO - nenhuma outra amostra do caso ensaiou esta linha. Presenca localizada NAO e causa: nunca se procurou este organismo em nenhum ponto sao.";um segundo ponto ensaiado para as mesmas linhas, fora do foco OESTE (a comparacao que nao existe)
BIO-05;biologia;Ceratobasidium sp. (raiz);NAO TESTADA;"presenca declarada em: metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06";"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma;"POSITIVO numa unica amostra composta; informe 331/2025 = amostra 'Kiwi 1000': UMA amostra COMPOSTA, uma data, um laboratorio, sem replicado e SEM PAR DE COMPARACAO - nenhuma outra amostra do caso ensaiou esta linha. Presenca localizada NAO e causa: nunca se procurou este organismo em nenhum ponto sao.";um segundo ponto ensaiado para as mesmas linhas, fora do foco OESTE (a comparacao que nao existe)
BIO-06;biologia;Fusarium oxysporum (raiz);NAO TESTADA;"presenca declarada em: metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06";"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma;"POSITIVO numa unica amostra composta; informe 331/2025 = amostra 'Kiwi 1000': UMA amostra COMPOSTA, uma data, um laboratorio, sem replicado e SEM PAR DE COMPARACAO - nenhuma outra amostra do caso ensaiou esta linha. Presenca localizada NAO e causa: nunca se procurou este organismo em nenhum ponto sao.";um segundo ponto ensaiado para as mesmas linhas, fora do foco OESTE (a comparacao que nao existe)
BIO-07;biologia;Fusarium solani (raiz);NAO TESTADA;"presenca declarada em: metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06";"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma;"POSITIVO numa unica amostra composta; informe 331/2025 = amostra 'Kiwi 1000': UMA amostra COMPOSTA, uma data, um laboratorio, sem replicado e SEM PAR DE COMPARACAO - nenhuma outra amostra do caso ensaiou esta linha. Presenca localizada NAO e causa: nunca se procurou este organismo em nenhum ponto sao.";um segundo ponto ensaiado para as mesmas linhas, fora do foco OESTE (a comparacao que nao existe)
BIO-08;biologia;Neofusicoccum parvum (raiz);NAO TESTADA;"presenca declarada em: metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06";"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma;"POSITIVO numa unica amostra composta; informe 331/2025 = amostra 'Kiwi 1000': UMA amostra COMPOSTA, uma data, um laboratorio, sem replicado e SEM PAR DE COMPARACAO - nenhuma outra amostra do caso ensaiou esta linha. Presenca localizada NAO e causa: nunca se procurou este organismo em nenhum ponto sao.";um segundo ponto ensaiado para as mesmas linhas, fora do foco OESTE (a comparacao que nao existe)
BIO-09;biologia;Globisporangium intermedium (raiz);NAO TESTADA;"presenca declarada em: metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06";"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma;"POSITIVO numa unica amostra composta; informe 331/2025 = amostra 'Kiwi 1000': UMA amostra COMPOSTA, uma data, um laboratorio, sem replicado e SEM PAR DE COMPARACAO - nenhuma outra amostra do caso ensaiou esta linha. Presenca localizada NAO e causa: nunca se procurou este organismo em nenhum ponto sao.";um segundo ponto ensaiado para as mesmas linhas, fora do foco OESTE (a comparacao que nao existe)
BIO-10;biologia;Armillaria sp. (raiz);EXCLUIDA-LOCAL;"metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06; matriz RAIZ";matriz em c3_05_folhas.txt: NEGATIVO no granel 331/2025;nenhum;NEGATIVO de uma amostra composta, n = 1, uma data. Nao exclui em nenhum outro ponto do pomar nem em nenhuma outra data.;repeticao noutro ponto e noutra data
