unidade;papel;posicao;papel_do_ponto;alvo_E;alvo_N;raio_m;ancora;valvulas;planta;tipo;matriz;d_foco_OESTE_m;d_foco_ESTE_m;coordenada_da_planta;pergola_por_cima;porque;margem;se_positivo;se_negativo
T1;TRANSECTO — foco ocidental, vazio de terreno;T1a;CENTRO do vazio de terreno;ancorado no terreno;ancorado no terreno;-;centro apontado pelo gestor, no terreno, no dia;v8 / v9 / v7 — a determinar pelo GPS de campo, nao a priori;T1a;sintomatica (ou planta morta/ausente — registar qual);raiz fina;a calcular DEPOIS do GPS de campo;a calcular DEPOIS do GPS de campo;A PRODUZIR NO TERRENO — obrigatoria. Nenhuma das 221 amostras deste caso tem coordenada, e e esse o defeito que as torna inutilizaveis.;A REGISTAR NO TERRENO — ha pergola por cima desta planta? Custa zero e re-certifica a particao de altura de 06-07-2025 no ano que interessa.;No centro espera-se sobretudo colonizador secundario, e e por isso que ele e informativo: se o agente primario estiver na ORLA e nao no CENTRO, isso e a assinatura de propagacao radial. As colheitas anteriores deste caso amostraram o centro e so o centro — a planta arrancada de 2026-08-04 veio do centro de um foco — e por isso nunca puderam ver a diferenca.;"O ANCORAMENTO E DE CAMPO E NAO NOSSO. O centro do transecto e o centro que o GESTOR aponta no terreno, no dia, e a orla e onde ele diz que o vazio acaba. NAO se usa o centro E530476 N4655046 nem as 3,98 ha: esse e o nucleo n.o 22 da corrida B, delimitado por ANOMALIA de NDVI e NDMI, com first = 2026-07-27 — geometria de 2026 sobre uma colheita de 2025-06-06 — e com 30 m de dispersao de centro entre derivacoes independentes. Os «11,4 m do centro do foco» que circularam sao a distancia entre DUAS ESTIMATIVAS DO MESMO CENTROIDE PELO MESMO INSTRUMENTO: informacao locacional zero, e precisao falsa a 1,14 celulas de 10 m. NAO CITAR. O foco OESTE da cadeia (E530485 N4655053) entra aqui so como verificacao POSTERIOR, nunca como alvo. MARGEM SOBRE O PROPRIO TESTEMUNHO: o gestor esta em dialogo com este processo ha semanas. Confirmou que identificou o vazio no TERRENO; fica por perguntar se alguma vez lhe foram mostrados os nossos mapas de NDVI. E uma linha, e e a diferenca entre observacao independente e observacao ancorada.";GRADIENTE centro>orla>fora ou orla>centro: assinatura de agente de solo em propagacao. NAO identifica qual — forma circular e compativel com Armillaria, Rosellinia e Phytophthora e nao distingue entre eles. SEM GRADIENTE, positivo em todos: nao ha propagacao a medir, e o vazio e outra coisa.;as linhas do 331/2025 nao reproduzem no proprio vazio que o gestor ve, com o mesmo laboratorio. A unica coluna da matriz nao e estavel, D7 passa a achado isolado, e para-se de tratar as nove presencas como material de trabalho. E um resultado FORTE.
T1;TRANSECTO — foco ocidental, vazio de terreno;T1a;CENTRO do vazio de terreno;ancorado no terreno;ancorado no terreno;-;centro apontado pelo gestor, no terreno, no dia;v8 / v9 / v7 — a determinar pelo GPS de campo, nao a priori;T1a;sintomatica (ou planta morta/ausente — registar qual);colo/tronco;a calcular DEPOIS do GPS de campo;a calcular DEPOIS do GPS de campo;A PRODUZIR NO TERRENO — obrigatoria. Nenhuma das 221 amostras deste caso tem coordenada, e e esse o defeito que as torna inutilizaveis.;A REGISTAR NO TERRENO — ha pergola por cima desta planta? Custa zero e re-certifica a particao de altura de 06-07-2025 no ano que interessa.;No centro espera-se sobretudo colonizador secundario, e e por isso que ele e informativo: se o agente primario estiver na ORLA e nao no CENTRO, isso e a assinatura de propagacao radial. As colheitas anteriores deste caso amostraram o centro e so o centro — a planta arrancada de 2026-08-04 veio do centro de um foco — e por isso nunca puderam ver a diferenca.;"O ANCORAMENTO E DE CAMPO E NAO NOSSO. O centro do transecto e o centro que o GESTOR aponta no terreno, no dia, e a orla e onde ele diz que o vazio acaba. NAO se usa o centro E530476 N4655046 nem as 3,98 ha: esse e o nucleo n.o 22 da corrida B, delimitado por ANOMALIA de NDVI e NDMI, com first = 2026-07-27 — geometria de 2026 sobre uma colheita de 2025-06-06 — e com 30 m de dispersao de centro entre derivacoes independentes. Os «11,4 m do centro do foco» que circularam sao a distancia entre DUAS ESTIMATIVAS DO MESMO CENTROIDE PELO MESMO INSTRUMENTO: informacao locacional zero, e precisao falsa a 1,14 celulas de 10 m. NAO CITAR. O foco OESTE da cadeia (E530485 N4655053) entra aqui so como verificacao POSTERIOR, nunca como alvo. MARGEM SOBRE O PROPRIO TESTEMUNHO: o gestor esta em dialogo com este processo ha semanas. Confirmou que identificou o vazio no TERRENO; fica por perguntar se alguma vez lhe foram mostrados os nossos mapas de NDVI. E uma linha, e e a diferenca entre observacao independente e observacao ancorada.";GRADIENTE centro>orla>fora ou orla>centro: assinatura de agente de solo em propagacao. NAO identifica qual — forma circular e compativel com Armillaria, Rosellinia e Phytophthora e nao distingue entre eles. SEM GRADIENTE, positivo em todos: nao ha propagacao a medir, e o vazio e outra coisa.;as linhas do 331/2025 nao reproduzem no proprio vazio que o gestor ve, com o mesmo laboratorio. A unica coluna da matriz nao e estavel, D7 passa a achado isolado, e para-se de tratar as nove presencas como material de trabalho. E um resultado FORTE.
T1;TRANSECTO — foco ocidental, vazio de terreno;T1a;CENTRO do vazio de terreno;ancorado no terreno;ancorado no terreno;-;centro apontado pelo gestor, no terreno, no dia;v8 / v9 / v7 — a determinar pelo GPS de campo, nao a priori;T1a;sintomatica (ou planta morta/ausente — registar qual);solo 0-30 cm;a calcular DEPOIS do GPS de campo;a calcular DEPOIS do GPS de campo;A PRODUZIR NO TERRENO — obrigatoria. Nenhuma das 221 amostras deste caso tem coordenada, e e esse o defeito que as torna inutilizaveis.;A REGISTAR NO TERRENO — ha pergola por cima desta planta? Custa zero e re-certifica a particao de altura de 06-07-2025 no ano que interessa.;No centro espera-se sobretudo colonizador secundario, e e por isso que ele e informativo: se o agente primario estiver na ORLA e nao no CENTRO, isso e a assinatura de propagacao radial. As colheitas anteriores deste caso amostraram o centro e so o centro — a planta arrancada de 2026-08-04 veio do centro de um foco — e por isso nunca puderam ver a diferenca.;"O ANCORAMENTO E DE CAMPO E NAO NOSSO. O centro do transecto e o centro que o GESTOR aponta no terreno, no dia, e a orla e onde ele diz que o vazio acaba. NAO se usa o centro E530476 N4655046 nem as 3,98 ha: esse e o nucleo n.o 22 da corrida B, delimitado por ANOMALIA de NDVI e NDMI, com first = 2026-07-27 — geometria de 2026 sobre uma colheita de 2025-06-06 — e com 30 m de dispersao de centro entre derivacoes independentes. Os «11,4 m do centro do foco» que circularam sao a distancia entre DUAS ESTIMATIVAS DO MESMO CENTROIDE PELO MESMO INSTRUMENTO: informacao locacional zero, e precisao falsa a 1,14 celulas de 10 m. NAO CITAR. O foco OESTE da cadeia (E530485 N4655053) entra aqui so como verificacao POSTERIOR, nunca como alvo. MARGEM SOBRE O PROPRIO TESTEMUNHO: o gestor esta em dialogo com este processo ha semanas. Confirmou que identificou o vazio no TERRENO; fica por perguntar se alguma vez lhe foram mostrados os nossos mapas de NDVI. E uma linha, e e a diferenca entre observacao independente e observacao ancorada.";GRADIENTE centro>orla>fora ou orla>centro: assinatura de agente de solo em propagacao. NAO identifica qual — forma circular e compativel com Armillaria, Rosellinia e Phytophthora e nao distingue entre eles. SEM GRADIENTE, positivo em todos: nao ha propagacao a medir, e o vazio e outra coisa.;as linhas do 331/2025 nao reproduzem no proprio vazio que o gestor ve, com o mesmo laboratorio. A unica coluna da matriz nao e estavel, D7 passa a achado isolado, e para-se de tratar as nove presencas como material de trabalho. E um resultado FORTE.
T1;TRANSECTO — foco ocidental, vazio de terreno;T1a;CENTRO do vazio de terreno;ancorado no terreno;ancorado no terreno;-;centro apontado pelo gestor, no terreno, no dia;v8 / v9 / v7 — a determinar pelo GPS de campo, nao a priori;T1a;sintomatica (ou planta morta/ausente — registar qual);solo 40-80 cm;a calcular DEPOIS do GPS de campo;a calcular DEPOIS do GPS de campo;A PRODUZIR NO TERRENO — obrigatoria. Nenhuma das 221 amostras deste caso tem coordenada, e e esse o defeito que as torna inutilizaveis.;A REGISTAR NO TERRENO — ha pergola por cima desta planta? Custa zero e re-certifica a particao de altura de 06-07-2025 no ano que interessa.;No centro espera-se sobretudo colonizador secundario, e e por isso que ele e informativo: se o agente primario estiver na ORLA e nao no CENTRO, isso e a assinatura de propagacao radial. As colheitas anteriores deste caso amostraram o centro e so o centro — a planta arrancada de 2026-08-04 veio do centro de um foco — e por isso nunca puderam ver a diferenca.;"O ANCORAMENTO E DE CAMPO E NAO NOSSO. O centro do transecto e o centro que o GESTOR aponta no terreno, no dia, e a orla e onde ele diz que o vazio acaba. NAO se usa o centro E530476 N4655046 nem as 3,98 ha: esse e o nucleo n.o 22 da corrida B, delimitado por ANOMALIA de NDVI e NDMI, com first = 2026-07-27 — geometria de 2026 sobre uma colheita de 2025-06-06 — e com 30 m de dispersao de centro entre derivacoes independentes. Os «11,4 m do centro do foco» que circularam sao a distancia entre DUAS ESTIMATIVAS DO MESMO CENTROIDE PELO MESMO INSTRUMENTO: informacao locacional zero, e precisao falsa a 1,14 celulas de 10 m. NAO CITAR. O foco OESTE da cadeia (E530485 N4655053) entra aqui so como verificacao POSTERIOR, nunca como alvo. MARGEM SOBRE O PROPRIO TESTEMUNHO: o gestor esta em dialogo com este processo ha semanas. Confirmou que identificou o vazio no TERRENO; fica por perguntar se alguma vez lhe foram mostrados os nossos mapas de NDVI. E uma linha, e e a diferenca entre observacao independente e observacao ancorada.";GRADIENTE centro>orla>fora ou orla>centro: assinatura de agente de solo em propagacao. NAO identifica qual — forma circular e compativel com Armillaria, Rosellinia e Phytophthora e nao distingue entre eles. SEM GRADIENTE, positivo em todos: nao ha propagacao a medir, e o vazio e outra coisa.;as linhas do 331/2025 nao reproduzem no proprio vazio que o gestor ve, com o mesmo laboratorio. A unica coluna da matriz nao e estavel, D7 passa a achado isolado, e para-se de tratar as nove presencas como material de trabalho. E um resultado FORTE.
T1;TRANSECTO — foco ocidental, vazio de terreno;T1b;ORLA — a frente, onde o gestor diz que o vazio acaba;ancorado no terreno;ancorado no terreno;-;orla apontada pelo gestor, no terreno, no dia;v8 / v9 / v7 — a determinar pelo GPS de campo, nao a priori;T1b;sintomatica, planta ainda viva e com sintoma;raiz fina;a calcular DEPOIS do GPS de campo;a calcular DEPOIS do GPS de campo;A PRODUZIR NO TERRENO — obrigatoria. Nenhuma das 221 amostras deste caso tem coordenada, e e esse o defeito que as torna inutilizaveis.;A REGISTAR NO TERRENO — ha pergola por cima desta planta? Custa zero e re-certifica a particao de altura de 06-07-2025 no ano que interessa.;"E o ponto que decide. Uma planta viva com sintoma na frente e onde um agente primario ainda esta activo; e o unico compartimento deste desenho onde um patogenio radicular em propagacao TEM de aparecer se for isso que se passa.";"O ANCORAMENTO E DE CAMPO E NAO NOSSO. O centro do transecto e o centro que o GESTOR aponta no terreno, no dia, e a orla e onde ele diz que o vazio acaba. NAO se usa o centro E530476 N4655046 nem as 3,98 ha: esse e o nucleo n.o 22 da corrida B, delimitado por ANOMALIA de NDVI e NDMI, com first = 2026-07-27 — geometria de 2026 sobre uma colheita de 2025-06-06 — e com 30 m de dispersao de centro entre derivacoes independentes. Os «11,4 m do centro do foco» que circularam sao a distancia entre DUAS ESTIMATIVAS DO MESMO CENTROIDE PELO MESMO INSTRUMENTO: informacao locacional zero, e precisao falsa a 1,14 celulas de 10 m. NAO CITAR. O foco OESTE da cadeia (E530485 N4655053) entra aqui so como verificacao POSTERIOR, nunca como alvo. MARGEM SOBRE O PROPRIO TESTEMUNHO: o gestor esta em dialogo com este processo ha semanas. Confirmou que identificou o vazio no TERRENO; fica por perguntar se alguma vez lhe foram mostrados os nossos mapas de NDVI. E uma linha, e e a diferenca entre observacao independente e observacao ancorada.";GRADIENTE centro>orla>fora ou orla>centro: assinatura de agente de solo em propagacao. NAO identifica qual — forma circular e compativel com Armillaria, Rosellinia e Phytophthora e nao distingue entre eles. SEM GRADIENTE, positivo em todos: nao ha propagacao a medir, e o vazio e outra coisa.;as linhas do 331/2025 nao reproduzem no proprio vazio que o gestor ve, com o mesmo laboratorio. A unica coluna da matriz nao e estavel, D7 passa a achado isolado, e para-se de tratar as nove presencas como material de trabalho. E um resultado FORTE.
T1;TRANSECTO — foco ocidental, vazio de terreno;T1b;ORLA — a frente, onde o gestor diz que o vazio acaba;ancorado no terreno;ancorado no terreno;-;orla apontada pelo gestor, no terreno, no dia;v8 / v9 / v7 — a determinar pelo GPS de campo, nao a priori;T1b;sintomatica, planta ainda viva e com sintoma;colo/tronco;a calcular DEPOIS do GPS de campo;a calcular DEPOIS do GPS de campo;A PRODUZIR NO TERRENO — obrigatoria. Nenhuma das 221 amostras deste caso tem coordenada, e e esse o defeito que as torna inutilizaveis.;A REGISTAR NO TERRENO — ha pergola por cima desta planta? Custa zero e re-certifica a particao de altura de 06-07-2025 no ano que interessa.;"E o ponto que decide. Uma planta viva com sintoma na frente e onde um agente primario ainda esta activo; e o unico compartimento deste desenho onde um patogenio radicular em propagacao TEM de aparecer se for isso que se passa.";"O ANCORAMENTO E DE CAMPO E NAO NOSSO. O centro do transecto e o centro que o GESTOR aponta no terreno, no dia, e a orla e onde ele diz que o vazio acaba. NAO se usa o centro E530476 N4655046 nem as 3,98 ha: esse e o nucleo n.o 22 da corrida B, delimitado por ANOMALIA de NDVI e NDMI, com first = 2026-07-27 — geometria de 2026 sobre uma colheita de 2025-06-06 — e com 30 m de dispersao de centro entre derivacoes independentes. Os «11,4 m do centro do foco» que circularam sao a distancia entre DUAS ESTIMATIVAS DO MESMO CENTROIDE PELO MESMO INSTRUMENTO: informacao locacional zero, e precisao falsa a 1,14 celulas de 10 m. NAO CITAR. O foco OESTE da cadeia (E530485 N4655053) entra aqui so como verificacao POSTERIOR, nunca como alvo. MARGEM SOBRE O PROPRIO TESTEMUNHO: o gestor esta em dialogo com este processo ha semanas. Confirmou que identificou o vazio no TERRENO; fica por perguntar se alguma vez lhe foram mostrados os nossos mapas de NDVI. E uma linha, e e a diferenca entre observacao independente e observacao ancorada.";GRADIENTE centro>orla>fora ou orla>centro: assinatura de agente de solo em propagacao. NAO identifica qual — forma circular e compativel com Armillaria, Rosellinia e Phytophthora e nao distingue entre eles. SEM GRADIENTE, positivo em todos: nao ha propagacao a medir, e o vazio e outra coisa.;as linhas do 331/2025 nao reproduzem no proprio vazio que o gestor ve, com o mesmo laboratorio. A unica coluna da matriz nao e estavel, D7 passa a achado isolado, e para-se de tratar as nove presencas como material de trabalho. E um resultado FORTE.
T1;TRANSECTO — foco ocidental, vazio de terreno;T1b;ORLA — a frente, onde o gestor diz que o vazio acaba;ancorado no terreno;ancorado no terreno;-;orla apontada pelo gestor, no terreno, no dia;v8 / v9 / v7 — a determinar pelo GPS de campo, nao a priori;T1b;sintomatica, planta ainda viva e com sintoma;solo 0-30 cm;a calcular DEPOIS do GPS de campo;a calcular DEPOIS do GPS de campo;A PRODUZIR NO TERRENO — obrigatoria. Nenhuma das 221 amostras deste caso tem coordenada, e e esse o defeito que as torna inutilizaveis.;A REGISTAR NO TERRENO — ha pergola por cima desta planta? Custa zero e re-certifica a particao de altura de 06-07-2025 no ano que interessa.;"E o ponto que decide. Uma planta viva com sintoma na frente e onde um agente primario ainda esta activo; e o unico compartimento deste desenho onde um patogenio radicular em propagacao TEM de aparecer se for isso que se passa.";"O ANCORAMENTO E DE CAMPO E NAO NOSSO. O centro do transecto e o centro que o GESTOR aponta no terreno, no dia, e a orla e onde ele diz que o vazio acaba. NAO se usa o centro E530476 N4655046 nem as 3,98 ha: esse e o nucleo n.o 22 da corrida B, delimitado por ANOMALIA de NDVI e NDMI, com first = 2026-07-27 — geometria de 2026 sobre uma colheita de 2025-06-06 — e com 30 m de dispersao de centro entre derivacoes independentes. Os «11,4 m do centro do foco» que circularam sao a distancia entre DUAS ESTIMATIVAS DO MESMO CENTROIDE PELO MESMO INSTRUMENTO: informacao locacional zero, e precisao falsa a 1,14 celulas de 10 m. NAO CITAR. O foco OESTE da cadeia (E530485 N4655053) entra aqui so como verificacao POSTERIOR, nunca como alvo. MARGEM SOBRE O PROPRIO TESTEMUNHO: o gestor esta em dialogo com este processo ha semanas. Confirmou que identificou o vazio no TERRENO; fica por perguntar se alguma vez lhe foram mostrados os nossos mapas de NDVI. E uma linha, e e a diferenca entre observacao independente e observacao ancorada.";GRADIENTE centro>orla>fora ou orla>centro: assinatura de agente de solo em propagacao. NAO identifica qual — forma circular e compativel com Armillaria, Rosellinia e Phytophthora e nao distingue entre eles. SEM GRADIENTE, positivo em todos: nao ha propagacao a medir, e o vazio e outra coisa.;as linhas do 331/2025 nao reproduzem no proprio vazio que o gestor ve, com o mesmo laboratorio. A unica coluna da matriz nao e estavel, D7 passa a achado isolado, e para-se de tratar as nove presencas como material de trabalho. E um resultado FORTE.
T1;TRANSECTO — foco ocidental, vazio de terreno;T1b;ORLA — a frente, onde o gestor diz que o vazio acaba;ancorado no terreno;ancorado no terreno;-;orla apontada pelo gestor, no terreno, no dia;v8 / v9 / v7 — a determinar pelo GPS de campo, nao a priori;T1b;sintomatica, planta ainda viva e com sintoma;solo 40-80 cm;a calcular DEPOIS do GPS de campo;a calcular DEPOIS do GPS de campo;A PRODUZIR NO TERRENO — obrigatoria. Nenhuma das 221 amostras deste caso tem coordenada, e e esse o defeito que as torna inutilizaveis.;A REGISTAR NO TERRENO — ha pergola por cima desta planta? Custa zero e re-certifica a particao de altura de 06-07-2025 no ano que interessa.;"E o ponto que decide. Uma planta viva com sintoma na frente e onde um agente primario ainda esta activo; e o unico compartimento deste desenho onde um patogenio radicular em propagacao TEM de aparecer se for isso que se passa.";"O ANCORAMENTO E DE CAMPO E NAO NOSSO. O centro do transecto e o centro que o GESTOR aponta no terreno, no dia, e a orla e onde ele diz que o vazio acaba. NAO se usa o centro E530476 N4655046 nem as 3,98 ha: esse e o nucleo n.o 22 da corrida B, delimitado por ANOMALIA de NDVI e NDMI, com first = 2026-07-27 — geometria de 2026 sobre uma colheita de 2025-06-06 — e com 30 m de dispersao de centro entre derivacoes independentes. Os «11,4 m do centro do foco» que circularam sao a distancia entre DUAS ESTIMATIVAS DO MESMO CENTROIDE PELO MESMO INSTRUMENTO: informacao locacional zero, e precisao falsa a 1,14 celulas de 10 m. NAO CITAR. O foco OESTE da cadeia (E530485 N4655053) entra aqui so como verificacao POSTERIOR, nunca como alvo. MARGEM SOBRE O PROPRIO TESTEMUNHO: o gestor esta em dialogo com este processo ha semanas. Confirmou que identificou o vazio no TERRENO; fica por perguntar se alguma vez lhe foram mostrados os nossos mapas de NDVI. E uma linha, e e a diferenca entre observacao independente e observacao ancorada.";GRADIENTE centro>orla>fora ou orla>centro: assinatura de agente de solo em propagacao. NAO identifica qual — forma circular e compativel com Armillaria, Rosellinia e Phytophthora e nao distingue entre eles. SEM GRADIENTE, positivo em todos: nao ha propagacao a medir, e o vazio e outra coisa.;as linhas do 331/2025 nao reproduzem no proprio vazio que o gestor ve, com o mesmo laboratorio. A unica coluna da matriz nao e estavel, D7 passa a achado isolado, e para-se de tratar as nove presencas como material de trabalho. E um resultado FORTE.
T1;TRANSECTO — foco ocidental, vazio de terreno;T1c;FORA — copado aparentemente sao, >= 20 m alem da orla;ancorado no terreno;ancorado no terreno;-;mesma direccao radial, >= 20 m para la da orla, na mesma fila sempre que a fila o permita;v8 / v9 / v7 — a determinar pelo GPS de campo, nao a priori;T1c;assintomatica;raiz fina;a calcular DEPOIS do GPS de campo;a calcular DEPOIS do GPS de campo;A PRODUZIR NO TERRENO — obrigatoria. Nenhuma das 221 amostras deste caso tem coordenada, e e esse o defeito que as torna inutilizaveis.;A REGISTAR NO TERRENO — ha pergola por cima desta planta? Custa zero e re-certifica a particao de altura de 06-07-2025 no ano que interessa.;Controlo de PROXIMIDADE: mesma fila, mesma valvula, mesma gestao, mesmo solo, a metros de distancia. Se o agente aparecer aqui tambem, nao explica o vazio. Distingue-se de U3/U4, que sao controlos de TERRENO a centenas de metros.;"O ANCORAMENTO E DE CAMPO E NAO NOSSO. O centro do transecto e o centro que o GESTOR aponta no terreno, no dia, e a orla e onde ele diz que o vazio acaba. NAO se usa o centro E530476 N4655046 nem as 3,98 ha: esse e o nucleo n.o 22 da corrida B, delimitado por ANOMALIA de NDVI e NDMI, com first = 2026-07-27 — geometria de 2026 sobre uma colheita de 2025-06-06 — e com 30 m de dispersao de centro entre derivacoes independentes. Os «11,4 m do centro do foco» que circularam sao a distancia entre DUAS ESTIMATIVAS DO MESMO CENTROIDE PELO MESMO INSTRUMENTO: informacao locacional zero, e precisao falsa a 1,14 celulas de 10 m. NAO CITAR. O foco OESTE da cadeia (E530485 N4655053) entra aqui so como verificacao POSTERIOR, nunca como alvo. MARGEM SOBRE O PROPRIO TESTEMUNHO: o gestor esta em dialogo com este processo ha semanas. Confirmou que identificou o vazio no TERRENO; fica por perguntar se alguma vez lhe foram mostrados os nossos mapas de NDVI. E uma linha, e e a diferenca entre observacao independente e observacao ancorada.";GRADIENTE centro>orla>fora ou orla>centro: assinatura de agente de solo em propagacao. NAO identifica qual — forma circular e compativel com Armillaria, Rosellinia e Phytophthora e nao distingue entre eles. SEM GRADIENTE, positivo em todos: nao ha propagacao a medir, e o vazio e outra coisa.;as linhas do 331/2025 nao reproduzem no proprio vazio que o gestor ve, com o mesmo laboratorio. A unica coluna da matriz nao e estavel, D7 passa a achado isolado, e para-se de tratar as nove presencas como material de trabalho. E um resultado FORTE.
T1;TRANSECTO — foco ocidental, vazio de terreno;T1c;FORA — copado aparentemente sao, >= 20 m alem da orla;ancorado no terreno;ancorado no terreno;-;mesma direccao radial, >= 20 m para la da orla, na mesma fila sempre que a fila o permita;v8 / v9 / v7 — a determinar pelo GPS de campo, nao a priori;T1c;assintomatica;colo/tronco;a calcular DEPOIS do GPS de campo;a calcular DEPOIS do GPS de campo;A PRODUZIR NO TERRENO — obrigatoria. Nenhuma das 221 amostras deste caso tem coordenada, e e esse o defeito que as torna inutilizaveis.;A REGISTAR NO TERRENO — ha pergola por cima desta planta? Custa zero e re-certifica a particao de altura de 06-07-2025 no ano que interessa.;Controlo de PROXIMIDADE: mesma fila, mesma valvula, mesma gestao, mesmo solo, a metros de distancia. Se o agente aparecer aqui tambem, nao explica o vazio. Distingue-se de U3/U4, que sao controlos de TERRENO a centenas de metros.;"O ANCORAMENTO E DE CAMPO E NAO NOSSO. O centro do transecto e o centro que o GESTOR aponta no terreno, no dia, e a orla e onde ele diz que o vazio acaba. NAO se usa o centro E530476 N4655046 nem as 3,98 ha: esse e o nucleo n.o 22 da corrida B, delimitado por ANOMALIA de NDVI e NDMI, com first = 2026-07-27 — geometria de 2026 sobre uma colheita de 2025-06-06 — e com 30 m de dispersao de centro entre derivacoes independentes. Os «11,4 m do centro do foco» que circularam sao a distancia entre DUAS ESTIMATIVAS DO MESMO CENTROIDE PELO MESMO INSTRUMENTO: informacao locacional zero, e precisao falsa a 1,14 celulas de 10 m. NAO CITAR. O foco OESTE da cadeia (E530485 N4655053) entra aqui so como verificacao POSTERIOR, nunca como alvo. MARGEM SOBRE O PROPRIO TESTEMUNHO: o gestor esta em dialogo com este processo ha semanas. Confirmou que identificou o vazio no TERRENO; fica por perguntar se alguma vez lhe foram mostrados os nossos mapas de NDVI. E uma linha, e e a diferenca entre observacao independente e observacao ancorada.";GRADIENTE centro>orla>fora ou orla>centro: assinatura de agente de solo em propagacao. NAO identifica qual — forma circular e compativel com Armillaria, Rosellinia e Phytophthora e nao distingue entre eles. SEM GRADIENTE, positivo em todos: nao ha propagacao a medir, e o vazio e outra coisa.;as linhas do 331/2025 nao reproduzem no proprio vazio que o gestor ve, com o mesmo laboratorio. A unica coluna da matriz nao e estavel, D7 passa a achado isolado, e para-se de tratar as nove presencas como material de trabalho. E um resultado FORTE.
