id;classe;causa;estatuto_C4;estatuto_C5;procurado_onde;resultado;n;poder_do_desenho;o_que_falta;custo;consequencia;decisao_C5;decisao_detalhe;nota_C5;origem_da_alteracao
BIO-01;biologia;Fusarium cerealis (madeira);NAO TESTADA;ENCONTRADA SEM PAR;1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06;POSITIVO;1;nulo para causa: amostra composta, sem replicado, sem par;um segundo ponto ensaiado nas mesmas linhas, no mesmo laboratorio: um em terreno sem historico de defice e um no lado oriental;BAIXO;MEDIA;PROCURAR;PROCURAR;"patogenio de madeira; a decisao de gestao esta na raiz. Entra por ser a mesma linha do mesmo painel e por custar zero a mais. zona, nao ponto; geometria de 2026 aplicada a colheita de 2025; nenhuma distancia a um foco pode ser citada para esta amostra";"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-02;biologia;Fusarium equiseti (madeira);NAO TESTADA;ENCONTRADA SEM PAR;1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06;POSITIVO;1;nulo para causa: amostra composta, sem replicado, sem par;um segundo ponto ensaiado nas mesmas linhas, no mesmo laboratorio: um em terreno sem historico de defice e um no lado oriental;BAIXO;MEDIA;PROCURAR;PROCURAR;"patogenio de madeira; a decisao de gestao esta na raiz. Entra por ser a mesma linha do mesmo painel e por custar zero a mais. zona, nao ponto; geometria de 2026 aplicada a colheita de 2025; nenhuma distancia a um foco pode ser citada para esta amostra";"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-03;biologia;Fusarium oxysporum (madeira);NAO TESTADA;ENCONTRADA SEM PAR;1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06;POSITIVO;1;nulo para causa: amostra composta, sem replicado, sem par;um segundo ponto ensaiado nas mesmas linhas, no mesmo laboratorio: um em terreno sem historico de defice e um no lado oriental;BAIXO;MEDIA;PROCURAR;PROCURAR;"patogenio de madeira; a decisao de gestao esta na raiz. Entra por ser a mesma linha do mesmo painel e por custar zero a mais. zona, nao ponto; geometria de 2026 aplicada a colheita de 2025; nenhuma distancia a um foco pode ser citada para esta amostra";"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-04;biologia;Neofusicoccum parvum (madeira);NAO TESTADA;ENCONTRADA SEM PAR;1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06;POSITIVO;1;nulo para causa: amostra composta, sem replicado, sem par;um segundo ponto ensaiado nas mesmas linhas, no mesmo laboratorio: um em terreno sem historico de defice e um no lado oriental;BAIXO;MEDIA;PROCURAR;PROCURAR;"patogenio de madeira; a decisao de gestao esta na raiz. Entra por ser a mesma linha do mesmo painel e por custar zero a mais. zona, nao ponto; geometria de 2026 aplicada a colheita de 2025; nenhuma distancia a um foco pode ser citada para esta amostra";"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-05;biologia;Ceratobasidium sp. (raiz);NAO TESTADA;ENCONTRADA SEM PAR;1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06;POSITIVO;1;nulo para causa: amostra composta, sem replicado, sem par;um segundo ponto ensaiado nas mesmas linhas, no mesmo laboratorio: um em terreno sem historico de defice e um no lado oriental;BAIXO;ALTA;PROCURAR;PROCURAR;"patogenio de RAIZ: e onde a decisao de gestao se joga. zona, nao ponto; geometria de 2026 aplicada a colheita de 2025; nenhuma distancia a um foco pode ser citada para esta amostra";"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-06;biologia;Fusarium oxysporum (raiz);NAO TESTADA;ENCONTRADA SEM PAR;1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06;POSITIVO;1;nulo para causa: amostra composta, sem replicado, sem par;um segundo ponto ensaiado nas mesmas linhas, no mesmo laboratorio: um em terreno sem historico de defice e um no lado oriental;BAIXO;ALTA;PROCURAR;PROCURAR;"patogenio de RAIZ: e onde a decisao de gestao se joga. zona, nao ponto; geometria de 2026 aplicada a colheita de 2025; nenhuma distancia a um foco pode ser citada para esta amostra";"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-07;biologia;Fusarium solani (raiz);NAO TESTADA;ENCONTRADA SEM PAR;1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06;POSITIVO;1;nulo para causa: amostra composta, sem replicado, sem par;um segundo ponto ensaiado nas mesmas linhas, no mesmo laboratorio: um em terreno sem historico de defice e um no lado oriental;BAIXO;ALTA;PROCURAR;PROCURAR;"patogenio de RAIZ: e onde a decisao de gestao se joga. zona, nao ponto; geometria de 2026 aplicada a colheita de 2025; nenhuma distancia a um foco pode ser citada para esta amostra";"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-08;biologia;Neofusicoccum parvum (raiz);NAO TESTADA;ENCONTRADA SEM PAR;1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06;POSITIVO;1;nulo para causa: amostra composta, sem replicado, sem par;um segundo ponto ensaiado nas mesmas linhas, no mesmo laboratorio: um em terreno sem historico de defice e um no lado oriental;BAIXO;ALTA;PROCURAR;PROCURAR;"patogenio de RAIZ: e onde a decisao de gestao se joga. zona, nao ponto; geometria de 2026 aplicada a colheita de 2025; nenhuma distancia a um foco pode ser citada para esta amostra";"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-09;biologia;Globisporangium intermedium (raiz);NAO TESTADA;ENCONTRADA SEM PAR;1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06;POSITIVO;1;nulo para causa;um segundo ponto ensaiado nas mesmas linhas, no mesmo laboratorio: um em terreno sem historico de defice e um no lado oriental;BAIXO;ALTA;PROCURAR;PROCURAR;"e um OOMICETA e e POSITIVO na RAIZ da mesma amostra cujo solo da negativo a oomicetas (BIO-14). O negativo de solo nao cobre isto. zona, nao ponto; geometria de 2026 aplicada a colheita de 2025; nenhuma distancia a um foco pode ser citada para esta amostra";"reetiquetagem C5 (era NAO TESTADA; adversario da C4 3.2)"
BIO-10;biologia;Armillaria sp. (raiz);EXCLUIDA-LOCAL;EXCLUIDA-LOCAL;"1 ponto - granel 331/2025, zona do testemunho (metade ocidental de um nucleo de 2,4-4,0 ha adjacente ao foco OESTE), colheita 2025-06-06; matriz RAIZ";NEGATIVO;1;suficiente para a zona e a data, nulo para o pomar;repeticao noutro ponto e noutra data;BAIXO;MEDIA;PROCURAR;PROCURAR (vem no mesmo painel);mantida. O adversario da C4 chama as quatro EXCLUIDA-LOCAL o melhor trabalho do livro-razao. Unica correccao: a zona e uma zona de 2026.;"mantida; ambito corrigido (R2 do adversario da C4)"
