id;classe;causa;estatuto_C4;estatuto_C5;derivado;regra;campo;excerto;prova;instrumento
BIO-01;biologia;Fusarium cerealis (madeira);NAO TESTADA;ENCONTRADA SEM PAR;ENCONTRADA SEM PAR;R4;margem e leitura;unica amostra composta;"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma
BIO-02;biologia;Fusarium equiseti (madeira);NAO TESTADA;ENCONTRADA SEM PAR;ENCONTRADA SEM PAR;R4;margem e leitura;unica amostra composta;"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma
BIO-03;biologia;Fusarium oxysporum (madeira);NAO TESTADA;ENCONTRADA SEM PAR;ENCONTRADA SEM PAR;R4;margem e leitura;unica amostra composta;"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma
BIO-04;biologia;Neofusicoccum parvum (madeira);NAO TESTADA;ENCONTRADA SEM PAR;ENCONTRADA SEM PAR;R4;margem e leitura;unica amostra composta;"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma
BIO-05;biologia;Ceratobasidium sp. (raiz);NAO TESTADA;ENCONTRADA SEM PAR;ENCONTRADA SEM PAR;R4;margem e leitura;unica amostra composta;"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma
BIO-06;biologia;Fusarium oxysporum (raiz);NAO TESTADA;ENCONTRADA SEM PAR;ENCONTRADA SEM PAR;R4;margem e leitura;unica amostra composta;"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma
BIO-07;biologia;Fusarium solani (raiz);NAO TESTADA;ENCONTRADA SEM PAR;ENCONTRADA SEM PAR;R4;margem e leitura;unica amostra composta;"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma
BIO-08;biologia;Neofusicoccum parvum (raiz);NAO TESTADA;ENCONTRADA SEM PAR;ENCONTRADA SEM PAR;R4;margem e leitura;unica amostra composta;"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma
BIO-09;biologia;Globisporangium intermedium (raiz);NAO TESTADA;ENCONTRADA SEM PAR;ENCONTRADA SEM PAR;R4;margem e leitura;unica amostra composta;"C3-R2 B4 (reformulado por testemunho); matriz em c3_05_folhas.txt";nenhum - o resultado e do laboratorio e nada o confirma
BIO-10;biologia;Armillaria sp. (raiz);EXCLUIDA-LOCAL;EXCLUIDA-LOCAL;MEDIDA SEM PODER;R5;margem e leitura;composta, n = 1, uma data;matriz em c3_05_folhas.txt: NEGATIVO no granel 331/2025;nenhum
BIO-11;biologia;Armillaria sp. (solo);EXCLUIDA-LOCAL;EXCLUIDA-LOCAL;NAO DERIVAVEL DO TEXTO;—;;"metade OESTE do nucleo redondo de 3.98 ha, centro E530476 N4655046, a 11.4 m do centro do foco OESTE; 2025-06-06; matriz";matriz em c3_05_folhas.txt: NEGATIVO no granel 331/2025;nenhum (o segundo NEGATIVO e o informe 240/2023, Ribadumia - REJEITADO)
BIO-12;biologia;Rosellinia sp. (solo);EXCLUIDA-LOCAL;EXCLUIDA-LOCAL;NEGATIVO COM PODER POR DECLARAR;R5b;margem e leitura;NEGATIVO em SOLO e em 2025-06-06. NAO toca a observacao de campo de 2026-08-04, que e RAIZ, outra planta, catorze meses ;"C3-R2 B9; matriz em c3_05_folhas.txt";numero de informe (331/2025) e de expediente (2025045292), atribuidos pelo laboratorio na recepcao
BIO-13;biologia;Rosellinia sp. (raiz);NAO TESTADA;ENCONTRADA SEM ENSAIO;NUNCA PROCURADA;R1;ambito;nenhum ponto, nenhuma data;C3-R2 B9: a linha RAIZ nao existe na matriz;nenhum
BIO-14;biologia;Oomicetes (geral) (solo);EXCLUIDA-LOCAL;EXCLUIDA-LOCAL;ENCONTRADA, PAR POR VERIFICAR;R4b;margem e leitura;NEGATIVO em SOLO. NAO cobre o compartimento raiz - e na RAIZ que a mesma amostra da POSITIVO a Globisporangium intermedi;matriz em c3_05_folhas.txt: NEGATIVO no granel 331/2025;nenhum
BIO-15;biologia;Oomicetes (geral) (raiz);NAO TESTADA;SO FORA DE GANFEI;NUNCA PROCURADA;R1;ambito;nenhum ponto de Ganfei;matriz: a unica fonte e o informe 240/2023, Ribadumia - REJEITADO;nenhum
BIO-16;biologia;Meloidogyne hapla como explicacao do contraste entre os focos;EXCLUIDA;INCONCLUSIVA;ENCONTRADA SEM NIVEL NORMAL;R3;margem e leitura;4/4 unidades colocadas;"C3-R2 B3; contagens em c3_05_folhas.txt; defice por unidade em c3_07_georreferenciacao.json";"SIM - laboratorio (Areeiro) para a contagem, Sentinel-2 para o defice; nenhum dos dois produziu o outro"
BIO-17;biologia;Meloidogyne hapla como stress de fundo do corpo inteiro;NAO TESTADA;ENCONTRADA SEM NIVEL NORMAL;ENCONTRADA SEM NIVEL NORMAL;R3;margem e leitura;em todas as unidades amostradas e exactamente o que produziria uma perda EM BLOCO (ver REG-02) em vez de um contraste;"C3-R2 B3; e a hipotese que BIO-16 NAO testa";nenhum
BIO-18;biologia;Dactylonectria sp. (raiz);NAO TESTADA;SO FORA DE GANFEI;NUNCA PROCURADA;R1;ambito;nenhum ponto de Ganfei;matriz: unica fonte e o informe 240/2023, Ribadumia - REJEITADO;nenhum
BIO-19;biologia;Fusarium sp. (raiz);NAO TESTADA;SO FORA DE GANFEI;NUNCA PROCURADA;R1;ambito;nenhum ponto de Ganfei;matriz: unica fonte e o informe 240/2023, Ribadumia - REJEITADO;nenhum
BIO-20;biologia;Ilyonectria liriodendri (raiz);NAO TESTADA;SO FORA DE GANFEI;NUNCA PROCURADA;R1;ambito;nenhum ponto de Ganfei;matriz: unica fonte e o informe 240/2023, Ribadumia - REJEITADO;nenhum
BIO-21;biologia;Rhizoctonia solani (raiz);NAO TESTADA;SO FORA DE GANFEI;NUNCA PROCURADA;R1;ambito;nenhum ponto de Ganfei;matriz: unica fonte e o informe 240/2023, Ribadumia - REJEITADO;nenhum
BIO-22;biologia;Phytophthora sojae;NAO TESTADA;NUNCA PROCURADA;NUNCA PROCURADA;R1;ambito;nenhum ponto com posicao;registo 79 do Registo Principal, coluna Notes, Becrop de 2023-08;nenhum
BIO-23;biologia;Phytophthora spp. em raiz ou colo;NAO TESTADA;NUNCA PROCURADA;NUNCA PROCURADA;R1;ambito;nenhum ponto de Ganfei em matriz RAIZ;matriz: ver BIO-14 e BIO-15;nenhum
BIO-24;biologia;Pseudomonas syringae pv. actinidiae (PSA) e cancro bacteriano;NAO TESTADA;NUNCA PROCURADA;NUNCA PROCURADA;R1;ambito;nenhum ponto, nenhuma data, nenhuma matriz;matriz completa: 15 taxa, todos fungos, oomicetas ou nematode;nenhum
BIO-25;biologia;Outras bacterias de raiz, colo ou vaso;NAO TESTADA;NUNCA PROCURADA;NUNCA PROCURADA;R1;ambito;nenhum ponto;idem BIO-24;nenhum
BIO-26;biologia;Virus e viroides;NAO TESTADA;NUNCA PROCURADA;NUNCA PROCURADA;R1;ambito;nenhum ponto;idem BIO-24;nenhum
BIO-27;biologia;Nematodes que nao Meloidogyne hapla;NAO TESTADA;NUNCA PROCURADA;NUNCA PROCURADA;R1;ambito;nenhum ponto;folha Contagens Nematodos: mede um genero;nenhum
ABI-01;substrato;Declive / posicao em encosta;EXCLUIDA;EXCLUIDA;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;SIM - LiDAR/MDT contra a serie optica;"C1 S5: 0,336 / 0,406 / 0,427 graus, p = 0,20; tudo abaixo de 0,5 graus";SIM - LiDAR/MDT contra a serie optica
ABI-02;substrato;Posicao topografica humida / acumulacao de agua como explicacao do pad;EXCLUIDA;EXCLUIDA;COM INSTRUMENTO INDEPENDENTE;R6;instrumento independente;SIM - MDT LiDAR contra serie Sentinel-2;ADVERSARIO_2026-08-29 W5, terreno_declinio.json: rho da cota NEGATIVO nas onze cenas (-0,20 a -0,46, p < 1e-24) - o defi;SIM - MDT LiDAR contra serie Sentinel-2
