data,ano,mes,hora_utc,nuvens,saudavel_st,controlo_st,manchaW_st,zona0_st,saudavel_ndvi,controlo_ndvi,manchaW_ndvi,zona0_ndvi,t_ar,dT_manchaW,dNDVI_manchaW
2017-04-03,2017,4,11:19,2.8,28.66,23.665,29.882,27.248,0.3228,0.6553,0.3024,0.4736,18.5,1.222,-0.0204
2017-04-12,2017,4,11:13,10.0,32.85,28.323,34.62,31.301,0.5001,0.6692,0.4481,0.6053,24.5,1.77,-0.052
2017-04-28,2017,4,11:13,0.0,27.59,26.224,28.897,27.252,0.7428,0.6881,0.6746,0.7446,17.0,1.307,-0.0682
2017-06-06,2017,6,11:19,9.7,26.532,25.552,27.696,26.427,0.8551,0.7217,0.8172,0.7029,19.3,1.164,-0.0379
2017-06-15,2017,6,11:13,15.9,32.388,33.816,33.174,34.416,0.8489,0.6517,0.8185,0.6449,26.4,0.786,-0.0304
2017-07-01,2017,7,11:13,14.7,26.28,25.515,27.016,24.801,0.847,0.769,0.829,0.7641,18.9,0.736,-0.018
2017-07-17,2017,7,11:13,16.9,31.955,32.606,32.298,32.835,0.8711,0.734,0.8733,0.8142,27.2,0.343,0.0022
2017-07-24,2017,7,11:19,24.7,31.016,32.011,31.286,31.327,0.8738,0.7274,0.873,0.8202,24.9,0.27,-0.0008
2017-08-02,2017,8,11:13,5.6,31.428,33.018,31.301,32.859,0.8748,0.7205,0.8795,0.8066,24.1,-0.127,0.0047
2017-08-09,2017,8,11:19,5.4,24.486,24.327,25.547,24.693,0.8697,0.7557,0.8724,0.8077,21.7,1.061,0.0027
2017-08-18,2017,8,11:13,15.7,35.541,36.846,35.384,36.717,0.8668,0.7173,0.846,0.78,28.6,-0.157,-0.0208
2017-08-25,2017,8,11:19,23.4,28.26,29.306,28.665,28.933,0.8387,0.6841,0.8209,0.7461,24.1,0.405,-0.0178
2017-09-03,2017,9,11:13,9.2,33.427,34.9,33.741,34.156,0.8641,0.6902,0.8208,0.7699,24.1,0.314,-0.0433
2017-09-19,2017,9,11:13,16.5,26.47,27.121,27.23,27.019,0.8589,0.6702,0.8283,0.7583,21.1,0.76,-0.0306
2018-05-01,2018,5,11:12,17.9,23.426,21.575,24.603,22.407,0.67,0.692,0.6495,0.7301,14.1,1.177,-0.0205
2018-05-17,2018,5,11:12,3.6,30.517,30.345,31.547,29.737,0.8062,0.675,0.7754,0.7879,23.9,1.03,-0.0308
2018-06-02,2018,6,11:12,17.1,23.606,25.248,22.758,23.857,0.8389,0.6612,0.881,0.8012,21.2,-0.848,0.0421
2018-06-18,2018,6,11:12,0.1,33.394,33.71,33.907,34.269,0.8611,0.6825,0.8397,0.6366,26.1,0.513,-0.0214
2018-08-05,2018,8,11:13,0.7,33.772,35.939,34.061,33.92,0.7827,0.5992,0.7826,0.7196,35.1,0.289,-0.0001
2018-08-21,2018,8,11:13,0.0,34.072,35.62,34.342,34.955,0.8601,0.7089,0.8469,0.8093,33.6,0.27,-0.0132
2018-09-06,2018,9,11:13,18.9,27.502,28.541,28.303,28.02,0.8893,0.7302,0.8783,0.8161,24.9,0.801,-0.011
2018-09-13,2018,9,11:19,8.4,28.217,29.634,29.106,29.021,0.8849,0.7165,0.8746,0.7928,27.9,0.889,-0.0103
2018-09-22,2018,9,11:13,7.6,30.502,31.489,30.822,31.885,0.8958,0.7215,0.8891,0.7499,26.3,0.32,-0.0067
2019-04-02,2019,4,11:13,13.8,24.226,20.405,24.92,22.55,0.3923,0.6738,0.3691,0.5795,15.9,0.694,-0.0232
2019-05-04,2019,5,11:13,0.0,28.835,27.11,29.865,27.714,0.7381,0.7223,0.7546,0.7834,21.0,1.03,0.0165
2019-05-11,2019,5,11:19,0.9,25.391,24.519,26.665,25.037,0.7671,0.7486,0.7773,0.681,18.7,1.274,0.0102
2019-06-21,2019,6,11:13,15.6,31.753,31.659,32.722,32.339,0.8315,0.6823,0.8211,0.7499,21.8,0.969,-0.0104
2019-06-28,2019,6,11:19,3.6,31.855,32.499,33.307,32.211,0.8421,0.6778,0.8334,0.7821,22.8,1.452,-0.0087
2019-07-30,2019,7,11:19,12.0,23.817,23.895,24.486,23.873,0.8174,0.6718,0.8222,0.7657,20.5,0.669,0.0048
2019-08-15,2019,8,11:20,1.3,31.099,31.671,31.679,31.914,0.8878,0.7551,0.8867,0.7896,25.0,0.58,-0.0011
2019-08-24,2019,8,11:13,17.2,30.044,30.595,30.334,30.81,0.8928,0.7572,0.8919,0.7964,23.1,0.29,-0.0009
2019-08-31,2019,8,11:20,12.3,29.637,30.667,30.102,30.527,0.8873,0.7466,0.8863,0.7895,25.4,0.465,-0.001
2020-06-23,2020,6,11:13,7.9,36.307,37.183,35.794,37.226,0.8551,0.6799,0.8782,0.7878,30.2,-0.513,0.0231
2020-07-09,2020,7,11:13,5.9,32.719,34.191,32.772,33.028,0.8473,0.679,0.8568,0.8157,29.7,0.053,0.0095
2020-07-16,2020,7,11:19,0.0,32.768,34.718,33.188,33.054,0.8732,0.6881,0.8737,0.8326,30.7,0.42,0.0005
