data,saudavel,manchaW,zona0
2018-04-18,0.2999,0.2882,0.4784
2018-04-20,0.343,0.3139,0.5038
2018-04-23,0.4177,0.3963,0.5451
2018-04-25,0.5166,0.4911,0.6223
2018-05-05,0.7054,0.6756,0.7325
2018-05-10,0.7795,0.7394,0.7705
2018-05-15,0.7924,0.7516,0.7771
2018-05-18,0.8022,0.761,0.7739
2018-05-20,0.8289,0.7962,0.7923
2018-06-02,,0.7206,
2018-06-14,0.8676,0.8344,0.6586
2018-06-14,0.8687,0.8335,0.659
2018-06-17,0.8781,0.8505,0.6158
2018-06-17,0.8784,0.8473,0.6153
2018-06-19,0.8601,0.8284,0.5964
2018-06-19,0.8573,0.8331,0.6006
2018-06-22,0.8643,0.8504,0.6128
2018-06-24,0.8478,0.8304,0.6094
2018-06-24,0.8435,0.8231,0.6076
2018-06-29,0.8645,0.8575,0.6284
2018-06-29,0.8548,0.8493,0.6282
2018-07-07,0.8822,0.8843,0.7119
2018-07-07,0.8771,0.8762,0.7081
2018-07-09,0.8668,0.8714,0.7181
2018-07-12,0.8774,0.8837,0.7639
2018-07-17,0.888,0.8897,0.8101
2019-02-19,0.2657,0.2744,0.3765
2019-03-11,0.2644,0.2506,0.4597
2019-03-14,0.2604,0.2421,0.4403
2019-03-16,0.251,0.2311,0.4496
2019-03-19,0.241,0.2173,0.4419
2019-03-21,0.2591,0.2411,0.4614
2019-03-24,0.256,0.2352,0.4559
2019-03-24,0.2491,0.2251,0.4619
2019-03-26,0.2698,0.2447,0.4793
2019-03-26,0.2672,0.2407,0.4788
2019-03-29,0.2689,0.2313,0.4877
2019-03-29,0.2654,0.2276,0.4862
2019-03-31,0.2838,0.2517,0.494
2019-04-28,0.6424,0.659,0.7598
2019-04-28,0.6415,0.6582,0.7593
2019-04-30,0.6881,0.7016,0.7787
2019-04-30,0.688,0.7006,0.7796
2019-05-03,0.6951,0.7204,0.7802
2019-05-03,0.6966,0.7193,0.7874
2019-05-13,0.7646,0.776,0.6502
2019-05-13,0.764,0.77,0.6587
2019-05-25,0.7846,0.8156,0.5705
2019-05-25,0.7841,0.8133,0.5725
2019-05-28,0.7785,0.8212,0.5686
2019-05-28,0.7778,0.822,0.5709
2019-05-30,0.7692,0.8236,0.5799
2019-05-30,0.771,0.8171,0.5867
2019-07-02,0.8423,0.8406,0.7778
2019-07-02,0.842,0.8365,0.7819
2019-07-09,0.8133,0.8197,
2019-07-09,0.8257,0.8279,0.7667
2019-07-14,0.857,0.8493,0.7922
2019-07-14,0.8496,0.8427,0.7848
2019-07-17,0.866,0.851,0.8001
2019-07-17,0.8684,0.8527,0.8018
2019-07-19,0.8622,0.8438,0.7921
2019-07-19,0.8617,0.8382,0.7945
2020-02-22,0.2683,0.2575,0.3022
2020-02-22,0.2699,0.2585,0.3068
2020-02-24,0.2875,0.2749,0.3163
2020-02-24,0.2861,0.2763,0.3047
2020-03-10,0.2914,0.2526,0.3542
2020-03-10,0.2926,0.2622,0.3464
2020-03-18,0.3143,0.2879,0.3504
2020-03-18,0.3172,0.2947,0.3471
