data,ref_saudavel,manchaW_defice_ha,manchaW_mascara_ha,manchaW_nucleo_ha,manchaW_centro_x,manchaW_centro_y,manchaW_alongamento,manchaW_orientacao_deg,manchaW_eixo_maior_m,manchaW_eixo_menor_m,zona0_defice_ha,zona0_mascara_ha,zona0_nucleo_ha,zona0_centro_x,zona0_centro_y,zona0_alongamento,zona0_orientacao_deg,zona0_eixo_maior_m,zona0_eixo_menor_m,zona0_alargada_defice_ha,zona0_alargada_mascara_ha,zona0_alargada_nucleo_ha,zona0_alargada_centro_x,zona0_alargada_centro_y,zona0_alargada_alongamento,zona0_alargada_orientacao_deg,zona0_alargada_eixo_maior_m,zona0_alargada_eixo_menor_m
2017-07-02,0.8379,1.16,4.27,1.16,62.4,50.5,1.37,50,76,55,1.08,2.2,1.08,103.7,49.9,2.07,50,87,42,1.84,5.05,1.35,103.1,48.8,2.31,57,105,46
2018-08-31,0.886,1.04,4.27,1.04,62.8,50.3,1.37,53,71,52,1.04,2.2,1.04,104.7,50.2,2.24,44,95,42,1.7,5.05,1.26,104.1,49.5,2.53,50,111,44
2019-09-02,0.9031,0.06,4.27,0.06,64.0,56.5,1.63,0,18,11,1.16,2.2,1.16,104.3,50.1,2.09,44,94,45,2.13,5.05,2.13,100.8,48.5,1.28,9,129,101
2020-07-18,0.8827,0.17,4.27,0.17,63.1,54.5,1.78,67,37,21,0.87,2.2,0.63,107.0,53.0,1.81,179,63,35,1.81,5.05,0.92,96.4,45.8,2.74,141,160,59
2021-07-16,0.8871,0.0,4.27,,,,,,,,1.25,2.2,1.25,104.5,50.2,1.96,40,94,48,2.26,5.05,1.62,103.8,48.8,2.14,54,114,53
2022-07-31,0.8915,0.0,4.27,,,,,,,,1.21,2.2,1.21,104.3,50.1,2.02,42,93,46,2.25,5.05,2.25,100.8,48.6,1.3,8,131,101
2023-08-07,0.9189,0.0,4.27,,,,,,,,1.54,2.2,1.27,104.4,50.1,1.99,40,95,48,2.5,5.05,1.65,103.7,48.7,2.07,52,114,55
2024-07-22,0.8944,0.04,4.27,0.04,48.5,54.5,1.0,90,12,12,1.2,2.2,1.2,104.1,50.0,1.95,44,91,46,2.06,5.05,1.49,103.4,48.8,2.14,53,107,50
2025-06-17,0.8877,1.17,4.27,1.17,52.2,53.8,1.28,155,72,56,2.12,2.2,2.12,104.9,49.6,1.45,1,101,70,3.48,5.05,3.48,102.2,48.5,1.46,178,137,94
2025-08-14,0.8815,1.4,4.27,1.36,51.7,55.1,1.19,168,74,62,2.17,2.2,2.17,104.8,49.6,1.45,1,101,70,3.6,5.05,3.6,102.4,48.5,1.49,170,139,94
2026-07-27,0.8862,3.53,4.27,3.53,53.6,54.8,1.44,165,129,90,2.18,2.2,2.18,104.8,49.6,1.44,1,101,70,3.99,5.05,3.99,102.1,48.1,1.5,168,142,95
