data,nuvens,manchaW_cobertura,manchaW_ndvi,manchaW_ndmi,manchaW_bsi,zona0_cobertura,zona0_ndvi,zona0_ndmi,zona0_bsi,saudavel_cobertura,saudavel_ndvi,saudavel_ndmi,saudavel_bsi
2023-07-01,0.4,1.0,0.8878,0.4729,-0.4353,1.0,0.5317,0.3091,-0.2352,1.0,0.8802,0.4751,-0.4349
2023-07-03,10.2,0.89,0.8775,0.4704,-0.4286,0.0,,,,0.49,,,
2023-07-06,11.4,1.0,0.8811,0.4788,-0.4351,1.0,0.5651,0.3284,-0.2488,1.0,0.8838,0.4872,-0.4444
2023-07-13,0.6,1.0,0.9062,0.4831,-0.4481,1.0,0.6152,0.3421,-0.2644,1.0,0.9051,0.4827,-0.4479
2023-07-18,5.7,1.0,0.8886,0.4898,-0.4536,1.0,0.6641,0.3761,-0.3019,1.0,0.8888,0.4911,-0.455
2023-07-26,0.1,1.0,0.9086,0.5043,-0.4697,1.0,0.7413,0.3974,-0.3264,1.0,0.9028,0.4951,-0.459
2023-07-31,0.1,1.0,0.9062,0.5105,-0.4772,1.0,0.8008,0.4435,-0.3833,1.0,0.9084,0.509,-0.4764
2023-08-05,0.0,1.0,0.9061,0.5004,-0.465,1.0,0.7883,0.4078,-0.3471,1.0,0.9051,0.499,-0.4634
2023-08-07,0.0,1.0,0.9197,0.5076,-0.4785,1.0,0.7459,0.3454,-0.29,1.0,0.9189,0.5065,-0.4774
2023-08-10,7.5,0.96,0.75,0.4295,-0.38,1.0,0.7158,0.3291,-0.2675,1.0,0.9035,0.5037,-0.4703
2023-08-12,1.5,0.7,0.545,0.2746,-0.207,1.0,0.717,0.318,-0.252,0.99,0.904,0.4878,-0.4553
2023-08-20,6.0,1.0,0.8496,0.4828,-0.4387,1.0,0.7734,0.3717,-0.3186,1.0,0.8913,0.501,-0.4666
2023-08-22,20.2,1.0,0.8575,0.4574,-0.4033,1.0,0.7318,0.3335,-0.264,1.0,0.8545,0.4557,-0.4008
2023-08-27,24.2,0.37,,,,0.93,0.6435,0.3368,-0.2802,1.0,0.9065,0.5505,-0.5184
2023-08-30,20.3,1.0,0.9002,0.5197,-0.4822,1.0,0.6222,0.3018,-0.2375,1.0,0.8995,0.5234,-0.4833
2023-09-14,6.3,1.0,0.9133,0.5089,-0.4754,1.0,0.66,0.3115,-0.2494,1.0,0.9112,0.5036,-0.4698
2023-09-19,21.7,1.0,0.9141,0.5284,-0.4965,1.0,0.6639,0.3484,-0.2812,1.0,0.9108,0.5215,-0.4888
2023-09-26,13.7,1.0,0.8974,0.5058,-0.4707,1.0,0.6747,0.3476,-0.2815,1.0,0.8939,0.4967,-0.4609
2023-09-29,0.1,1.0,0.9133,0.5206,-0.4876,1.0,0.6804,0.356,-0.2886,1.0,0.9083,0.505,-0.4715
2023-10-01,4.6,1.0,0.9101,0.4954,-0.4627,1.0,0.6813,0.3363,-0.2699,1.0,0.9029,0.478,-0.4436
2023-10-04,1.5,1.0,0.8841,0.4972,-0.4549,1.0,0.6715,0.3383,-0.2686,1.0,0.8783,0.48,-0.4372
2023-10-06,23.7,1.0,0.8958,0.5022,-0.4663,1.0,0.681,0.3528,-0.2858,0.97,0.8865,0.4898,-0.4515
2023-10-09,0.0,1.0,0.8921,0.5102,-0.4695,1.0,0.6755,0.3586,-0.2863,1.0,0.8873,0.4941,-0.4533
2023-10-11,11.1,0.0,,,,0.0,,,,0.0,,,
2023-10-14,25.2,1.0,0.894,0.5028,-0.4629,1.0,0.5989,0.2855,-0.219,1.0,0.8853,0.486,-0.4443
2023-11-23,9.5,0.16,,,,0.0,,,,0.0,,,
2023-12-15,6.5,1.0,0.8717,0.4611,-0.4143,1.0,0.5773,0.2699,-0.1961,1.0,0.8475,0.4281,-0.3762
2023-12-18,16.2,1.0,0.8275,0.4911,-0.4275,1.0,0.536,0.3055,-0.2133,1.0,0.7905,0.4461,-0.3769
2023-12-20,27.5,1.0,0.8256,0.3927,-0.3332,1.0,0.5397,0.2343,-0.1546,1.0,0.7736,0.3425,-0.2748
2023-12-23,6.4,1.0,0.7784,0.3315,-0.2563,1.0,0.5041,0.1893,-0.1044,1.0,0.6805,0.2553,-0.17
2023-12-25,2.5,1.0,0.763,0.3453,-0.2799,1.0,0.5044,0.2177,-0.1382,1.0,0.6678,0.2731,-0.1972
2024-01-07,12.5,1.0,0.5485,0.2412,-0.1277,1.0,0.4521,0.232,-0.1311,1.0,0.4463,0.2029,-0.0935
2024-01-19,19.5,1.0,0.4365,0.0944,0.0004,1.0,0.4396,0.1472,-0.0629,1.0,0.3632,0.0642,0.0171
2024-01-24,1.2,1.0,0.3661,0.0584,0.0071,1.0,0.4324,0.1714,-0.0898,1.0,0.3315,0.0513,0.0116
2024-02-03,0.0,1.0,0.3108,-0.0578,0.0934,1.0,0.4259,0.1213,-0.0509,1.0,0.2914,-0.0468,0.085
2024-02-06,8.7,1.0,0.0493,0.0116,0.015,1.0,0.0826,0.0413,-0.0076,1.0,0.068,0.018,0.0085
2024-03-22,0.0,1.0,0.256,-0.0418,0.0672,1.0,0.3458,0.0899,-0.0213,1.0,0.2592,-0.0345,0.0629
2024-03-24,7.5,1.0,0.2661,-0.0216,0.051,1.0,0.3555,0.1194,-0.0446,1.0,0.2637,-0.0161,0.0469
2024-04-13,27.5,0.0,,,,0.0,,,,0.0,,,
2024-04-16,0.0,1.0,0.3696,0.0931,-0.0408,1.0,0.401,0.1779,-0.0899,1.0,0.3647,0.1013,-0.0457
2024-04-18,4.2,1.0,0.4075,0.1175,-0.0567,1.0,0.4122,0.184,-0.0912,1.0,0.3963,0.1208,-0.0578
2024-04-21,0.1,1.0,0.4633,0.1695,-0.0994,1.0,0.4438,0.1995,-0.1059,1.0,0.4442,0.1694,-0.0965
2024-04-23,0.0,1.0,0.5046,0.2075,-0.1355,1.0,0.4647,0.2241,-0.1313,1.0,0.4803,0.2058,-0.1308
2024-05-08,27.3,0.0,,,,0.0,,,,0.0,,,
2024-05-11,5.5,1.0,0.7274,0.3687,-0.2991,1.0,0.5176,0.2178,-0.1503,1.0,0.7068,0.3718,-0.2965
2024-05-23,19.7,0.0,,,,0.0,,,,0.0,,,
2024-05-28,3.5,1.0,0.8335,0.4517,-0.3968,1.0,0.5685,0.261,-0.1938,1.0,0.828,0.4534,-0.3964
2024-05-31,0.5,1.0,0.8055,0.4707,-0.4011,1.0,0.5471,0.2613,-0.1833,1.0,0.7953,0.469,-0.3962
2024-06-02,0.3,1.0,0.8262,0.4703,-0.4119,1.0,0.5728,0.285,-0.2097,1.0,0.8192,0.4703,-0.4091
2024-06-07,29.2,0.0,,,,0.0,,,,0.0,,,
2024-06-10,26.5,0.96,0.5175,0.2631,-0.1866,0.96,0.5162,0.2552,-0.18,0.78,0.5172,0.2673,-0.198
2024-06-12,25.5,1.0,0.8518,0.477,-0.4271,1.0,0.6465,0.3597,-0.285,1.0,0.866,0.5056,-0.4573
2024-06-27,14.4,1.0,0.8778,0.4672,-0.4229,1.0,0.6033,0.2446,-0.1889,1.0,0.8594,0.4443,-0.3957
2024-07-02,0.9,1.0,0.8788,0.4918,-0.4497,1.0,0.6231,0.2718,-0.2113,1.0,0.8573,0.462,-0.415
2024-07-05,0.9,1.0,0.9005,0.5144,-0.4775,1.0,0.6506,0.2999,-0.2353,1.0,0.8773,0.4804,-0.4376
2024-07-07,18.1,0.0,,,,0.0,,,,0.0,,,
2024-07-12,8.3,1.0,0.8947,0.5102,-0.4723,1.0,0.6978,0.3452,-0.2831,1.0,0.8805,0.4818,-0.4418
2024-07-17,11.6,1.0,0.8933,0.4746,-0.4361,1.0,0.717,0.357,-0.2941,1.0,0.8857,0.4632,-0.4228
2024-07-22,0.0,1.0,0.895,0.4804,-0.4438,1.0,0.7361,0.3866,-0.3253,1.0,0.8944,0.4837,-0.447
2024-07-25,0.1,1.0,0.8835,0.4818,-0.4416,1.0,0.7384,0.3988,-0.3348,1.0,0.8869,0.4899,-0.4506
2024-07-27,12.1,1.0,0.8916,0.4498,-0.413,1.0,0.7313,0.3498,-0.2888,1.0,0.8981,0.4605,-0.4259
2024-07-30,0.9,1.0,0.8756,0.4569,-0.4109,1.0,0.6706,0.2813,-0.2224,1.0,0.8824,0.4687,-0.4247
2024-08-04,0.0,1.0,0.8833,0.4804,-0.4408,1.0,0.6645,0.2856,-0.2279,1.0,0.8945,0.4969,-0.46
2024-08-06,14.6,1.0,0.8683,0.4847,-0.4419,0.13,,,,0.44,,,
2024-08-09,0.0,1.0,0.8712,0.4614,-0.4176,1.0,0.6446,0.2612,-0.1969,1.0,0.8906,0.4872,-0.4471
2024-08-11,16.2,1.0,0.856,0.4558,-0.4118,1.0,0.6399,0.2687,-0.207,1.0,0.8767,0.4823,-0.4418
2024-08-14,6.3,1.0,0.8808,0.4869,-0.4456,1.0,0.6647,0.289,-0.2257,1.0,0.9033,0.5174,-0.4809
2024-08-16,0.0,1.0,0.8887,0.4623,-0.4236,1.0,0.6683,0.2706,-0.2076,1.0,0.9099,0.4906,-0.4566
2024-08-19,0.0,1.0,0.8619,0.4567,-0.4125,1.0,0.6754,0.2795,-0.219,1.0,0.8809,0.485,-0.4438
2024-08-21,16.9,1.0,0.8213,0.4501,-0.3988,1.0,0.6603,0.2892,-0.227,1.0,0.8495,0.4845,-0.4362
2024-08-29,3.5,1.0,0.8864,0.4762,-0.4361,1.0,0.7152,0.3258,-0.262,1.0,0.9032,0.5024,-0.4655
2024-09-03,26.0,0.99,0.7453,0.4438,-0.3895,1.0,0.7055,0.3438,-0.274,1.0,0.8916,0.5425,-0.4994
2024-09-10,5.1,1.0,0.8913,0.4887,-0.4522,1.0,0.7155,0.3207,-0.2564,1.0,0.9088,0.5123,-0.479
2024-09-13,0.3,1.0,0.8858,0.5092,-0.4675,1.0,0.6474,0.2515,-0.187,1.0,0.905,0.5333,-0.4954
2024-09-15,12.4,1.0,0.8727,0.4909,-0.4451,1.0,0.643,0.25,-0.1813,1.0,0.8911,0.5159,-0.4733
2024-09-18,8.3,1.0,0.3964,0.292,-0.1874,1.0,0.3113,0.1253,-0.072,1.0,0.4182,0.3104,-0.202
2024-09-23,10.7,1.0,0.8692,0.4959,-0.4524,1.0,0.6559,0.2501,-0.1923,1.0,0.888,0.5203,-0.4799
2024-10-13,10.0,1.0,0.8413,0.4653,-0.4099,1.0,0.62,0.2463,-0.178,1.0,0.8756,0.5003,-0.4512
2024-10-23,0.1,1.0,0.8314,0.4595,-0.4051,1.0,0.6019,0.2341,-0.1691,1.0,0.8593,0.4924,-0.4422
2024-10-28,3.5,1.0,0.8427,0.4376,-0.3817,1.0,0.6121,0.2228,-0.1517,1.0,0.8763,0.4749,-0.4249
2024-11-02,6.4,1.0,0.8369,0.4439,-0.3882,1.0,0.6006,0.225,-0.1563,1.0,0.8622,0.4816,-0.4297
2024-11-09,11.1,1.0,0.8519,0.4284,-0.3825,1.0,0.6255,0.2319,-0.1705,1.0,0.8758,0.4708,-0.4278
2024-11-12,0.2,1.0,0.857,0.4678,-0.4139,1.0,0.6088,0.2379,-0.1654,1.0,0.8781,0.501,-0.4511
2024-11-17,0.5,1.0,0.7843,0.3998,-0.3285,1.0,0.564,0.1978,-0.123,1.0,0.7977,0.4203,-0.3498
2024-12-14,1.1,1.0,0.8084,0.3935,-0.3291,1.0,0.6326,0.261,-0.1835,1.0,0.7143,0.3195,-0.2396
2024-12-24,0.0,1.0,0.7344,0.2689,-0.1939,1.0,0.6224,0.2144,-0.1419,1.0,0.6167,0.1845,-0.1045
2024-12-27,10.4,1.0,0.6011,0.2627,-0.1868,1.0,0.5806,0.2834,-0.1995,1.0,0.5302,0.2071,-0.1278
2025-01-16,0.4,1.0,0.3793,0.0958,-0.0142,1.0,0.5717,0.2564,-0.1651,1.0,0.3173,0.0067,0.0554
2025-01-18,0.2,1.0,0.393,0.0771,-0.0104,1.0,0.5791,0.2697,-0.1829,1.0,0.339,0.0007,0.0512
2025-01-23,7.7,1.0,0.4017,0.134,-0.0435,1.0,0.6142,0.3092,-0.2139,1.0,0.3564,0.0658,0.0144
2025-01-31,0.1,1.0,0.3079,0.0581,0.0083,1.0,0.5778,0.2753,-0.1881,1.0,0.2834,0.0173,0.0404
2025-02-05,5.8,1.0,0.3113,0.0301,0.032,1.0,0.5771,0.2624,-0.1749,1.0,0.292,-0.0029,0.057
2025-03-02,2.4,1.0,0.3168,0.0286,0.0205,1.0,0.4537,0.0983,-0.0391,1.0,0.2914,0.0057,0.0379
2025-03-14,11.6,0.01,,,,0.04,,,,0.08,,,
2025-03-26,21.9,1.0,0.3542,0.0432,0.0038,1.0,0.3833,0.0657,-0.0082,1.0,0.3361,0.0365,0.0076
2025-03-29,0.0,1.0,0.3474,0.0509,-0.0001,1.0,0.3534,0.0532,0.0064,1.0,0.3283,0.0468,0.0027
2025-03-29,0.0,1.0,0.3601,0.0558,-0.0078,1.0,0.3605,0.0636,-0.0062,1.0,0.3416,0.0478,-0.0026
2025-04-23,0.6,1.0,0.5333,0.2118,-0.1415,1.0,0.4441,0.148,-0.0775,1.0,0.5259,0.2232,-0.1505
2025-04-26,7.5,0.16,,,,0.08,,,,0.31,,,
