data,flag_fenologia,ref_saudavel_media,ref_saudavel_dp,pomar_ndvi_medio,pomar_ndvi_mediana,pomar_px_validos,manchaW_ndvi_medio,manchaW_ndvi_mediana,manchaW_px_validos,zona0_ndvi_medio,zona0_ndvi_mediana,zona0_px_validos,saudavel_uniao_ndvi_medio,saudavel_uniao_ndvi_mediana,saudavel_uniao_px_validos,pomar_defice_moderado_ha,pomar_defice_moderado_pct,pomar_defice_severo_ha,pomar_defice_severo_pct,manchaW_defice_moderado_ha,manchaW_defice_moderado_pct,manchaW_defice_severo_ha,manchaW_defice_severo_pct,zona0_defice_moderado_ha,zona0_defice_moderado_pct,zona0_defice_severo_ha,zona0_defice_severo_pct
2017-07-02,,0.8379,0.1111,0.7787,0.8765,2903,0.7973,0.89,427,0.6891,0.7783,220,0.8379,0.8793,454,8.54,29.4,7.74,26.7,1.18,27.6,1.14,26.7,1.14,51.8,1.03,46.8
2018-08-31,,0.886,0.04,0.8535,0.8983,2903,0.8678,0.8995,427,0.8008,0.8349,220,0.886,0.9021,454,7.98,27.5,4.75,16.4,1.08,25.3,0.61,14.3,1.1,50.0,0.9,40.9
2019-09-02,canopia em inicio de senescencia (2 set); pode inflacionar area de defice,0.9031,0.0217,0.8707,0.9089,2903,0.9041,0.9173,427,0.7763,0.8189,220,0.9031,0.9118,454,5.37,18.5,3.82,13.2,0.11,2.6,0.03,0.7,1.19,54.1,1.02,46.4
2020-07-18,,0.8827,0.0356,0.8381,0.8815,2903,0.8819,0.8948,427,0.8125,0.8482,220,0.8827,0.8937,454,6.09,21.0,3.98,13.7,0.28,6.6,0.04,0.9,0.95,43.2,0.51,23.2
2021-07-16,,0.8871,0.0289,0.853,0.8946,2903,0.9,0.9035,427,0.7095,0.7396,220,0.8871,0.8966,454,5.22,18.0,4.21,14.5,0.02,0.5,0.0,0.0,1.28,58.2,1.19,54.1
2022-07-31,,0.8915,0.0218,0.8521,0.8961,2903,0.899,0.8995,427,0.7431,0.7744,220,0.8915,0.8979,454,5.09,17.5,4.21,14.5,0.0,0.0,0.0,0.0,1.3,59.1,1.13,51.4
2023-08-07,,0.9189,0.0142,0.8893,0.9201,2903,0.9197,0.9205,427,0.7459,0.7611,220,0.9189,0.9228,454,5.04,17.4,3.54,12.2,0.02,0.5,0.0,0.0,1.6,72.7,1.33,60.5
2024-07-22,,0.8944,0.0196,0.8617,0.8964,2903,0.895,0.9012,427,0.7361,0.7921,220,0.8944,0.8986,454,4.73,16.3,3.4,11.7,0.13,3.0,0.0,0.0,1.25,56.8,1.11,50.5
2025-06-17,,0.8877,0.0347,0.8225,0.891,2903,0.8293,0.8815,427,0.6294,0.6877,220,0.8877,0.896,454,7.62,26.2,5.94,20.5,1.19,27.9,0.91,21.3,2.14,97.3,1.5,68.2
2025-08-14,,0.8815,0.015,0.8292,0.8712,2903,0.8295,0.8574,427,0.6598,0.6649,220,0.8815,0.8847,454,7.97,27.5,5.82,20.0,1.44,33.7,0.89,20.8,2.19,99.5,1.89,85.9
2026-07-27,,0.8862,0.0209,0.8082,0.8662,2903,0.7477,0.7551,427,0.6556,0.6599,220,0.8862,0.8928,454,11.5,39.6,8.94,30.8,3.6,84.3,2.61,61.1,2.2,100.0,2.2,100.0
