ano,data,ref,z0_menos_ref,z0alarg_menos_ref,manchaW_menos_ref,z0_defice_0.03_ha,z0alarg_defice_0.03_ha,z0_defice_0.05_ha,z0alarg_defice_0.05_ha,z0_defice_0.07_ha,z0alarg_defice_0.07_ha
2017,2017-07-02,0.8379,-0.1488,-0.0934,-0.0407,1.16,2.0,1.08,1.84,1.02,1.63
2018,2018-08-31,0.886,-0.0853,-0.0646,-0.0183,1.11,2.12,1.04,1.7,0.96,1.55
2019,2019-09-02,0.9031,-0.1269,-0.0877,0.0009,1.23,2.31,1.16,2.13,1.12,1.89
2020,2020-07-18,0.8827,-0.0702,-0.058,-0.0008,1.09,2.22,0.87,1.81,0.6,1.4
2021,2021-07-16,0.8871,-0.1776,-0.1307,0.0129,1.28,2.42,1.25,2.26,1.22,2.07
2022,2022-07-31,0.8915,-0.1484,-0.1151,0.0076,1.37,2.57,1.21,2.25,1.16,2.04
2023,2023-08-07,0.9189,-0.173,-0.1127,0.0008,1.72,3.06,1.54,2.5,1.37,2.16
2024,2024-07-22,0.8944,-0.1582,-0.1025,0.0006,1.34,2.45,1.2,2.06,1.15,1.81
2025,2025-08-14,0.8815,-0.2217,-0.1447,-0.0521,2.18,3.92,2.17,3.6,2.06,3.29
2026,2026-07-27,0.8862,-0.2306,-0.1732,-0.1385,2.18,4.13,2.18,3.99,2.18,3.88
