data,hora_utc,nuvens,saudavel_st,saudavel_ndvi,manchaW_st,manchaW_ndvi,zona0_st,zona0_ndvi,controlo_st,controlo_ndvi,t_ar
2017-04-03,11:19,2.8,28.66,0.3228,29.882,0.3024,27.248,0.4736,23.665,0.6553,18.5
2017-04-12,11:13,10.0,32.85,0.5001,34.62,0.4481,31.301,0.6053,28.323,0.6692,24.5
2017-04-28,11:13,0.0,27.59,0.7428,28.897,0.6746,27.252,0.7446,26.224,0.6881,17.0
2017-06-06,11:19,9.7,26.532,0.8551,27.696,0.8172,26.427,0.7029,25.552,0.7217,19.3
2017-06-15,11:13,15.9,32.388,0.8489,33.174,0.8185,34.416,0.6449,33.816,0.6517,26.4
2017-07-01,11:13,14.7,26.28,0.847,27.016,0.829,24.801,0.7641,25.515,0.769,18.9
2017-07-17,11:13,16.9,31.955,0.8711,32.298,0.8733,32.835,0.8142,32.606,0.734,27.2
2017-07-24,11:19,24.7,31.016,0.8738,31.286,0.873,31.327,0.8202,32.011,0.7274,24.9
2017-08-02,11:13,5.6,31.428,0.8748,31.301,0.8795,32.859,0.8066,33.018,0.7205,24.1
2017-08-09,11:19,5.4,24.486,0.8697,25.547,0.8724,24.693,0.8077,24.327,0.7557,21.7
2017-08-18,11:13,15.7,35.541,0.8668,35.384,0.846,36.717,0.78,36.846,0.7173,28.6
2017-08-25,11:19,23.4,28.26,0.8387,28.665,0.8209,28.933,0.7461,29.306,0.6841,24.1
2017-09-03,11:13,9.2,33.427,0.8641,33.741,0.8208,34.156,0.7699,34.9,0.6902,24.1
2017-09-19,11:13,16.5,26.47,0.8589,27.23,0.8283,27.019,0.7583,27.121,0.6702,21.1
2018-05-01,11:12,17.9,23.426,0.67,24.603,0.6495,22.407,0.7301,21.575,0.692,14.1
2018-05-17,11:12,3.6,30.517,0.8062,31.547,0.7754,29.737,0.7879,30.345,0.675,23.9
2018-06-02,11:12,17.1,23.606,0.8389,22.758,0.881,23.857,0.8012,25.248,0.6612,21.2
2018-06-18,11:12,0.1,33.394,0.8611,33.907,0.8397,34.269,0.6366,33.71,0.6825,26.1
2018-08-05,11:13,0.7,33.772,0.7827,34.061,0.7826,33.92,0.7196,35.939,0.5992,35.1
2018-08-21,11:13,0.0,34.072,0.8601,34.342,0.8469,34.955,0.8093,35.62,0.7089,33.6
2018-09-06,11:13,18.9,27.502,0.8893,28.303,0.8783,28.02,0.8161,28.541,0.7302,24.9
2018-09-13,11:19,8.4,28.217,0.8849,29.106,0.8746,29.021,0.7928,29.634,0.7165,27.9
2018-09-22,11:13,7.6,30.502,0.8958,30.822,0.8891,31.885,0.7499,31.489,0.7215,26.3
2019-04-02,11:13,13.8,24.226,0.3923,24.92,0.3691,22.55,0.5795,20.405,0.6738,15.9
2019-05-04,11:13,0.0,28.835,0.7381,29.865,0.7546,27.714,0.7834,27.11,0.7223,21.0
2019-05-11,11:19,0.9,25.391,0.7671,26.665,0.7773,25.037,0.681,24.519,0.7486,18.7
2019-06-21,11:13,15.6,31.753,0.8315,32.722,0.8211,32.339,0.7499,31.659,0.6823,21.8
2019-06-28,11:19,3.6,31.855,0.8421,33.307,0.8334,32.211,0.7821,32.499,0.6778,22.8
2019-07-30,11:19,12.0,23.817,0.8174,24.486,0.8222,23.873,0.7657,23.895,0.6718,20.5
2019-08-15,11:20,1.3,31.099,0.8878,31.679,0.8867,31.914,0.7896,31.671,0.7551,25.0
2019-08-24,11:13,17.2,30.044,0.8928,30.334,0.8919,30.81,0.7964,30.595,0.7572,23.1
2019-08-31,11:20,12.3,29.637,0.8873,30.102,0.8863,30.527,0.7895,30.667,0.7466,25.4
2020-06-23,11:13,7.9,36.307,0.8551,35.794,0.8782,37.226,0.7878,37.183,0.6799,30.2
2020-07-09,11:13,5.9,32.719,0.8473,32.772,0.8568,33.028,0.8157,34.191,0.679,29.7
2020-07-16,11:19,0.0,32.768,0.8732,33.188,0.8737,33.054,0.8326,34.718,0.6881,30.7
2020-07-25,11:13,0.1,33.029,0.8798,33.296,0.8768,32.963,0.831,35.073,0.6944,25.4
2020-08-26,11:13,4.8,33.421,0.9089,33.87,0.9045,33.734,0.8621,34.356,0.7561,26.6
