data,b1_ndvi_medio,b1_ndvi_mediana,ref_saudavel_principal,b1_menos_ref,b1_defice_moderado_ha,b1_defice_moderado_pct,pomar_principal_ndvi,manchaW_ndvi
2017-07-02,0.8546,0.8775,0.8379,0.0167,1.11,14.1,0.7787,0.7973
2018-08-31,0.8204,0.8452,0.886,-0.0656,3.51,44.5,0.8535,0.8678
2019-09-02,0.8288,0.8761,0.9031,-0.0743,2.81,35.7,0.8707,0.9041
2020-07-18,0.8126,0.8581,0.8827,-0.0701,2.83,35.9,0.8381,0.8819
2021-07-16,0.836,0.8646,0.8871,-0.0511,3.12,39.6,0.853,0.9
2022-07-31,0.8437,0.8674,0.8915,-0.0478,2.67,33.9,0.8521,0.899
2023-08-07,0.8696,0.8947,0.9189,-0.0493,2.12,26.9,0.8893,0.9197
2024-07-22,0.8991,0.9112,0.8944,0.0047,0.64,8.1,0.8617,0.895
2025-06-17,0.8649,0.8879,0.8877,-0.0228,1.41,17.9,0.8225,0.8293
2025-08-14,0.7996,0.8477,0.8815,-0.0819,3.1,39.3,0.8292,0.8295
2026-07-27,0.8622,0.8781,0.8862,-0.024,1.52,19.3,0.8082,0.7477
