tile_a,tile_b,voo_a,voo_b,mesma_campanha,tipo,n_px,costura_completa,mediana_dif_m,dp_dif_m
56563,57563,2025-08-02,2026-01-15,False,vertical,2000,True,0.0151,0.1311
56564,57563,2025-08-02,2026-01-15,False,horizontal,851,False,-13.3327,6.0788
57563,58563,2026-01-15,2026-01-15,True,vertical,2000,True,-0.0017,0.1327
57564,58564,2025-08-02,2026-01-15,False,vertical,2000,True,0.002,0.0819
57565,58564,2025-08-02,2026-01-15,False,horizontal,976,False,-0.0838,8.3382
58563,59563,2026-01-15,2026-01-14,False,vertical,2000,True,0.0149,0.1438
58564,59564,2026-01-15,2026-01-15,True,vertical,2000,True,0.0152,0.0862
58565,59565,2025-08-02,2026-01-15,False,vertical,2000,True,-0.0005,0.0713
58565,59566,2025-08-02,2025-08-02,True,vertical,210,False,5.9219,0.4599
58566,59565,2025-08-02,2026-01-15,False,vertical,211,False,-1.5742,0.6944
59563,60563,2026-01-14,2026-01-13,False,vertical,2000,True,0.047,0.1772
59564,60564,2026-01-15,2026-01-15,True,vertical,2000,True,-0.0028,0.203
59565,60565,2026-01-15,2026-01-15,True,vertical,2000,True,0.006,0.1104
59565,60566,2026-01-15,2025-08-02,False,vertical,622,False,0.6846,6.663
59566,60565,2025-08-02,2026-01-15,False,vertical,621,False,-5.7767,4.2547
59566,60566,2025-08-02,2025-08-02,True,vertical,247,False,6.228,2.5908
60563,61563,2026-01-13,2026-01-13,True,vertical,2000,True,0.0806,0.2174
60564,61564,2026-01-15,2026-01-15,True,vertical,2000,True,0.0038,0.2783
60565,61565,2026-01-15,2026-01-14,False,vertical,2000,True,-0.0022,0.116
60566,61565,2025-08-02,2026-01-14,False,vertical,996,False,6.1649,14.6595
60566,61566,2025-08-02,2025-08-02,True,vertical,626,False,6.4741,3.5731
