data,saudavel_ndvi,saudavel_ndre,pomar_ndvi,pomar_ndre,manchaW_ndvi,manchaW_ndre,zona0_ndvi,zona0_ndre
2017-07-02,0.8379,0.6144,0.7787,0.5636,0.7973,0.5734,0.6891,0.4928
2018-08-31,0.886,0.689,0.8535,0.6526,0.8678,0.6719,0.8008,0.5822
2019-09-02,0.9031,0.706,0.8707,0.6692,0.9041,0.7074,0.7763,0.5669
2020-07-18,0.8827,0.6752,0.8381,0.6346,0.8819,0.6737,0.8125,0.6035
2021-07-16,0.8871,0.6606,0.853,0.6285,0.9,0.6716,0.7095,0.5113
2022-07-31,0.8915,0.6686,0.8521,0.6342,0.899,0.677,0.7431,0.5379
2023-08-07,0.9189,0.7101,0.8893,0.6785,0.9197,0.709,0.7459,0.5461
2024-07-22,0.8944,0.6651,0.8617,0.6365,0.895,0.6627,0.7361,0.5331
2025-06-17,0.8877,0.6256,0.8225,0.5685,0.8293,0.5667,0.6294,0.4123
2025-08-14,0.8815,0.6302,0.8292,0.5822,0.8295,0.5746,0.6598,0.448
2026-07-27,0.8862,0.5831,0.8082,0.5215,0.7477,0.4665,0.6556,0.4082
