inverno,data,orbita,passagem,saudavel_vv_db,saudavel_vh_db,manchaW_vv_db,manchaW_vh_db,zona0_vv_db,zona0_vh_db
2022-23,2022-11-01,125,descending,-4.271,-12.717,-4.017,-12.596,-6.216,-14.188
2022-23,2022-11-02,147,ascending,-4.602,-13.507,-4.898,-12.932,-7.041,-14.797
2022-23,2022-11-13,125,descending,-4.105,-12.904,-4.279,-12.577,-6.664,-13.959
2022-23,2022-11-14,147,ascending,-4.745,-12.493,-3.882,-12.293,-7.385,-14.275
2022-23,2022-11-25,125,descending,-3.723,-11.914,-3.095,-12.081,-5.489,-13.462
2022-23,2022-11-26,147,ascending,-5.294,-12.97,-5.083,-12.729,-7.312,-14.563
2022-23,2022-12-07,125,descending,-4.406,-12.695,-4.357,-12.847,-6.156,-13.61
2022-23,2022-12-08,147,ascending,-5.21,-12.69,-4.725,-12.622,-8.078,-13.136
2022-23,2022-12-19,125,descending,-5.794,-11.829,-5.316,-12.163,-7.701,-12.644
2022-23,2022-12-20,147,ascending,-4.693,-10.754,-4.44,-10.802,-6.914,-12.806
2022-23,2022-12-31,125,descending,-5.558,-11.223,-6.078,-10.775,-7.492,-12.49
2022-23,2023-01-01,147,ascending,-4.926,-10.551,-4.809,-9.918,-6.221,-12.686
2022-23,2023-01-12,125,descending,-6.081,-11.756,-6.141,-11.175,-7.958,-13.478
2022-23,2023-01-13,147,ascending,-6.963,-12.254,-5.852,-11.284,-8.266,-13.554
2022-23,2023-01-24,125,descending,-7.647,-12.979,-7.101,-12.756,-8.236,-14.653
2022-23,2023-01-25,147,ascending,-7.804,-13.464,-6.636,-12.637,-8.872,-14.647
2022-23,2023-02-05,125,descending,-7.935,-13.95,-7.228,-13.309,-8.641,-14.35
2022-23,2023-02-06,147,ascending,-7.927,-13.699,-7.178,-12.314,-8.527,-15.192
2022-23,2023-02-17,125,descending,-9.013,-15.077,-9.068,-14.4,-10.025,-15.922
2022-23,2023-02-18,147,ascending,-8.252,-14.623,-8.22,-14.228,-9.178,-15.188
2022-23,2023-03-01,125,descending,-9.7,-15.147,-9.613,-15.137,-10.25,-16.137
2022-23,2023-03-02,147,ascending,-9.335,-15.034,-8.727,-14.861,-9.322,-16.261
2022-23,2023-03-13,125,descending,-7.537,-13.401,-7.716,-12.431,-8.407,-13.467
2022-23,2023-03-14,147,ascending,-8.559,-14.637,-8.05,-14.253,-9.305,-14.966
2022-23,2023-03-25,125,descending,-9.092,-14.691,-9.286,-14.791,-8.16,-15.07
2022-23,2023-03-26,147,ascending,-8.652,-14.761,-8.887,-15.013,-8.303,-15.667
2023-24,2023-11-08,125,descending,-4.009,-11.859,-3.601,-12.133,-5.787,-12.687
2023-24,2023-11-09,147,ascending,-4.735,-11.846,-5.326,-11.623,-6.002,-13.056
2023-24,2023-11-21,147,ascending,-5.715,-13.087,-6.073,-12.254,-6.726,-13.988
2023-24,2023-12-02,125,descending,-5.057,-13.241,-4.557,-13.063,-6.179,-13.077
2023-24,2023-12-03,147,ascending,-5.322,-12.004,-4.988,-11.837,-7.087,-12.667
2023-24,2023-12-14,125,descending,-4.002,-12.145,-4.343,-12.412,-5.841,-12.329
2023-24,2023-12-15,147,ascending,-5.982,-12.118,-5.496,-12.417,-6.904,-14.388
2023-24,2023-12-27,147,ascending,-6.238,-12.39,-6.265,-12.29,-6.963,-14.194
2023-24,2024-01-07,125,descending,-5.548,-11.482,-5.058,-11.214,-6.364,-12.717
2023-24,2024-01-08,147,ascending,-5.16,-11.191,-5.166,-10.929,-6.181,-13.193
2023-24,2024-01-19,125,descending,-6.091,-12.282,-5.646,-11.334,-6.475,-12.358
2023-24,2024-01-20,147,ascending,-6.774,-12.649,-6.22,-12.184,-6.192,-14.21
2023-24,2024-02-12,125,descending,-7.179,-12.843,-6.73,-12.83,-6.598,-12.683
2023-24,2024-02-13,147,ascending,-7.564,-14.176,-7.54,-13.756,-6.827,-13.622
2023-24,2024-02-24,125,descending,-7.173,-13.031,-6.441,-12.846,-7.25,-13.053
2023-24,2024-02-25,147,ascending,-7.22,-13.282,-6.837,-12.815,-6.772,-12.948
2023-24,2024-03-07,125,descending,-7.364,-13.656,-7.399,-13.514,-7.833,-13.803
2023-24,2024-03-08,147,ascending,-6.914,-13.129,-6.866,-12.457,-7.133,-13.593
2023-24,2024-03-19,125,descending,-8.873,-14.64,-8.97,-14.733,-8.65,-14.345
2023-24,2024-03-20,147,ascending,-8.539,-14.924,-8.371,-14.298,-7.889,-14.202
2024-25,2024-11-02,125,descending,-4.097,-12.316,-4.604,-12.703,-6.849,-13.167
2024-25,2024-11-03,147,ascending,-5.074,-13.098,-5.438,-12.986,-8.243,-14.084
2024-25,2024-11-14,125,descending,-5.201,-13.254,-5.608,-13.612,-7.302,-14.801
2024-25,2024-11-15,147,ascending,-5.029,-13.071,-5.92,-13.088,-8.114,-15.365
2024-25,2024-11-26,125,descending,-5.22,-12.092,-4.914,-12.456,-7.461,-12.871
2024-25,2024-12-08,125,descending,-6.221,-13.045,-5.447,-13.227,-8.165,-13.92
2024-25,2024-12-09,147,ascending,-6.399,-12.59,-6.05,-12.799,-8.33,-14.295
2024-25,2024-12-20,125,descending,-6.08,-12.821,-4.716,-12.962,-7.578,-14.188
2024-25,2024-12-21,147,ascending,-7.019,-12.597,-6.503,-12.548,-7.727,-14.568
2024-25,2025-01-01,125,descending,-7.251,-13.909,-7.271,-13.567,-9.026,-14.983
2024-25,2025-01-02,147,ascending,-7.25,-12.549,-7.327,-12.652,-8.571,-14.462
2024-25,2025-01-13,125,descending,-7.24,-12.885,-7.442,-12.693,-8.08,-12.819
2024-25,2025-01-14,147,ascending,-7.589,-13.171,-6.99,-12.566,-8.47,-14.136
2024-25,2025-01-25,125,descending,-6.411,-12.576,-6.157,-12.175,-6.454,-11.959
2024-25,2025-01-26,147,ascending,-5.489,-11.934,-5.776,-11.638,-6.521,-12.429
2024-25,2025-02-06,125,descending,-8.321,-14.213,-9.195,-14.042,-9.025,-14.525
2024-25,2025-02-07,147,ascending,-7.543,-14.053,-7.822,-13.76,-8.742,-14.513
2024-25,2025-02-18,125,descending,-8.294,-14.406,-8.062,-13.888,-8.441,-13.328
2024-25,2025-02-19,147,ascending,-7.913,-14.433,-7.919,-14.52,-8.236,-14.076
2024-25,2025-03-02,125,descending,-8.419,-14.967,-8.79,-14.812,-9.19,-14.938
2024-25,2025-03-03,147,ascending,-8.56,-14.709,-8.6,-14.494,-8.693,-14.269
2024-25,2025-03-14,125,descending,-9.283,-15.022,-9.403,-14.844,-9.462,-15.839
2024-25,2025-03-15,147,ascending,-8.403,-14.796,-8.685,-15.094,-7.896,-14.64
2024-25,2025-03-26,125,descending,-9.03,-15.425,-8.941,-14.786,-9.501,-15.383
2024-25,2025-03-27,147,ascending,-8.486,-14.627,-8.65,-15.149,-7.129,-14.775
