data,plataforma,nuvens,saudavel_st,saudavel_n,manchaW_st,manchaW_n,zona0_st,zona0_n
2017-06-15,landsat-8,15.9,32.388,454,33.174,427,34.416,220
2017-07-01,landsat-8,14.7,26.28,454,27.016,427,24.801,220
2017-07-17,landsat-8,16.9,31.955,454,32.298,427,32.835,220
2017-07-24,landsat-8,24.7,31.016,454,31.286,427,31.327,220
2017-08-02,landsat-8,5.6,31.428,454,31.301,427,32.859,220
2017-08-09,landsat-8,5.4,24.486,413,25.547,427,24.693,220
2017-08-18,landsat-8,15.7,35.541,454,35.384,427,36.717,220
2017-08-25,landsat-8,23.4,28.26,454,28.665,427,28.933,220
2017-09-03,landsat-8,9.2,33.427,454,33.741,427,34.156,220
2018-06-18,landsat-8,0.1,33.394,454,33.907,427,34.269,220
2018-08-05,landsat-8,0.7,33.772,451,34.061,393,33.92,220
2018-08-21,landsat-8,0.0,34.072,454,34.342,427,34.955,220
2018-09-06,landsat-8,18.9,27.502,454,28.303,427,28.02,220
2018-09-13,landsat-8,8.4,28.217,454,29.106,427,29.021,220
2019-06-21,landsat-8,15.6,31.753,454,32.722,427,32.339,220
2019-06-28,landsat-8,3.6,31.855,454,33.307,427,32.211,220
2019-07-30,landsat-8,12.0,23.817,454,24.486,427,23.873,220
2019-08-15,landsat-8,1.3,31.099,454,31.679,427,31.914,220
2019-08-24,landsat-8,17.2,30.044,454,30.334,427,30.81,220
2019-08-31,landsat-8,12.3,29.637,454,30.102,427,30.527,220
2020-06-23,landsat-8,7.9,36.307,454,35.794,427,37.226,220
2020-07-09,landsat-8,5.9,32.719,454,32.772,427,33.028,220
2020-07-16,landsat-8,0.0,32.768,454,33.188,427,33.054,220
2020-07-25,landsat-8,0.1,33.029,454,33.296,427,32.963,220
2020-08-26,landsat-8,4.8,33.421,454,33.87,427,33.734,220
2020-09-02,landsat-8,0.0,27.587,454,28.227,427,28.205,220
2020-09-11,landsat-8,11.9,29.419,454,29.701,427,30.083,220
2021-07-28,landsat-8,1.3,30.518,454,30.838,427,31.612,220
2021-08-13,landsat-8,4.8,32.872,454,33.197,427,33.749,220
2022-07-06,landsat-8,5.7,31.359,454,31.257,427,32.506,220
2022-07-07,landsat-9,0.0,33.642,454,33.326,427,34.933,220
2022-07-23,landsat-9,0.3,34.417,454,33.864,427,36.137,220
2022-07-30,landsat-9,0.1,31.691,454,32.036,427,33.155,220
2022-07-31,landsat-8,0.0,34.781,454,34.476,427,36.596,220
2022-08-08,landsat-9,15.9,33.755,454,33.686,427,35.067,220
2022-09-09,landsat-9,4.0,31.353,454,31.675,427,33.143,220
2023-06-15,landsat-9,0.2,33.698,454,33.865,427,34.033,220
2023-06-23,landsat-8,0.7,32.419,454,32.99,427,34.734,220
2023-06-24,landsat-9,2.0,35.56,454,35.683,427,37.731,220
2023-07-01,landsat-9,5.9,33.864,454,34.391,427,36.176,220
2023-07-02,landsat-8,1.0,32.407,454,32.778,427,34.302,220
2023-07-10,landsat-9,0.0,32.321,454,33.018,427,33.92,220
2023-07-17,landsat-9,3.7,29.141,454,30.186,427,30.006,220
2023-07-18,landsat-8,9.8,31.173,454,31.788,427,32.149,220
2023-07-25,landsat-8,18.8,26.958,454,28.269,427,26.256,220
2023-07-26,landsat-9,0.2,32.875,454,33.263,427,33.687,220
2023-08-26,landsat-8,17.9,27.236,454,27.8,427,28.686,220
2023-09-12,landsat-9,22.2,28.027,454,28.576,427,28.725,220
2024-07-03,landsat-9,23.3,30.943,454,31.384,427,32.6,220
2024-07-04,landsat-8,0.0,33.724,454,33.766,427,35.693,220
2024-07-12,landsat-9,5.3,29.192,454,29.887,427,30.265,220
2024-07-27,landsat-8,7.4,32.432,454,32.995,427,33.006,220
2024-07-28,landsat-9,16.8,34.591,454,34.955,427,35.627,220
2024-08-04,landsat-9,13.7,33.23,454,33.859,427,34.807,220
2024-08-05,landsat-8,0.3,32.737,454,32.856,427,34.565,220
2024-08-21,landsat-8,0.5,29.91,454,30.524,427,31.339,220
2024-08-29,landsat-9,12.7,31.165,396,31.659,427,32.717,220
2024-09-13,landsat-8,0.0,26.086,454,26.921,427,27.834,220
2024-09-14,landsat-9,0.0,26.626,454,27.217,427,28.748,220
2025-06-20,landsat-9,1.8,33.699,454,35.193,427,35.527,220
2025-06-28,landsat-8,22.8,35.687,454,37.296,427,37.455,220
2025-06-29,landsat-9,15.7,36.577,454,37.857,427,38.185,220
2025-07-07,landsat-8,0.8,32.518,454,33.363,427,35.603,220
2025-07-14,landsat-8,3.8,30.923,454,32.795,427,34.301,220
2025-07-15,landsat-9,0.0,33.498,454,35.187,427,37.393,220
2025-07-23,landsat-8,14.7,11.822,454,13.415,427,12.858,220
2025-07-30,landsat-8,0.1,31.321,454,32.954,427,34.398,220
2025-07-31,landsat-9,0.3,29.624,454,31.138,427,32.535,220
2025-08-08,landsat-8,12.2,33.43,454,34.445,427,35.816,220
2025-08-16,landsat-9,1.4,30.843,454,31.915,427,32.504,220
2025-08-23,landsat-9,6.4,32.324,454,33.686,427,34.097,220
2025-08-24,landsat-8,10.2,29.942,454,30.869,427,31.859,220
2025-09-08,landsat-9,8.0,22.464,454,24.48,427,23.939,220
2026-06-16,landsat-9,3.8,33.688,454,36.425,427,34.133,220
2026-07-01,landsat-8,0.7,32.592,454,36.774,427,35.205,220
2026-07-02,landsat-9,0.0,33.945,454,38.252,427,36.955,220
2026-07-18,landsat-9,6.8,34.73,454,37.753,427,36.918,220
2026-07-25,landsat-9,9.4,28.889,454,31.033,427,29.813,220
2026-07-26,landsat-8,0.1,32.478,454,35.113,427,34.353,220
2026-08-10,landsat-9,4.5,34.378,454,36.379,427,36.186,220
2026-08-11,landsat-8,8.0,33.655,454,35.043,427,35.174,220
